"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"111791","1","0","ハイクラス","","","非公開","","","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","09","01","ITコンサルタント","システムコンサルタント","9","4","ITコンサルタント","金融システムコンサルタント","スカイライトコンサルティング株式会社","コンサルタント","顧客企業の経営課題を解決するため、ビジネスとITの専門知識を駆使したコンサルティングサービスを提供。特に顧客企業とともに協働しながらプロジェクトを推進し、成果を挙げることを重視。顧客企業は一部上場企業からベンチャー企業まで多岐に渡り、金融、製造、情報通信、流通・小売、官公庁と偏りがない。コンサルティングテーマもBPR/BPO、新規事業構築、経営戦略、CRM、経営管理/ERP、ITガバナンス、SCM、ブランディングなど幅広い。今まで培った経験をもとに、更に幅広い経験を重ねながら顧客の状況に柔軟に対応し、既存の枠にとらわれない新しいビジネスを創造する。。日本企業の海外進出支援、グローバルのBPR/システム導入など海外案件も増加しており、現在はグローバルプロジェクトが6割を超える。評価制度・教育体制にも注力し、透明なアサイン制度などを含め、コンサルタントを育成するしっかりした体制・仕組みも構築。","○アナリスト・アソシエート：実務経験3～8年程度。コンサルティング会社或いはSI・IT業界にて、コンサルタント・ITプロフェッショナルとしての実務経験をお持ちの方。オープン系・WEB系のSE経験者、ERP・SCM・CRMなどの導入コンサルティング経験者。事業会社にてプロジェクト形式での業務経験がある方（基礎的なITスキルのある方）。○シニアアソシエート：実務経験5～10年程度。コンサルティング会社或いはSI・IT企業にて、プロジェクトリーダー・プロジェクトマネジャーとしての経験が豊富な方。","英語ができる方歓迎。大学院卒、MBA取得者歓迎。経験と共に、人物・マインド（経営理念＝「顧客の成功を創造し、顧客と成功体験を共有する」に共感できる方）等を重視します。　困難な課題に取り組む意欲、変革意識に富んだ方。現状を鵜呑みにせず、問題の本質を見抜く力のある方。課題抽出力、ならびに対処案の発想力のある方。自ら実践する力のある方。","------","","コンサルタントとしての素養である地頭のよさ、コミュニケーション能力、論理的思考力などを備えている人。また、さらに一企業の課題解決に留まらず、業界全体や世の中についての課題を解決したり、新たな価値を創造していける「志」を持っている人。少数精鋭でプロジェクトを進めるため、自立的で、責任感をもってやりぬく力が必要になります。","SE、プロジェクトリーダー・マネージャー経験。コンサルティング経験。ITの経験をベースに、ビジネス・ITを駆使したコンサルティングを行いたいという思いをお持ちの方。","東京都","港区","","","大卒以上","25","35","500","900","クライアントからの評価も高く、業績も好調。事業拡大、更なるブレークスルーに向けて優秀な方を求めております。","515","会計・システムコンサルティングファーム","顧客企業の経営課題を解決するため、ビジネスとITの専門知識を駆使したコンサルティングサービスを提供。卓越したプロジェクト推進力によって顧客の成功を創造するプロフェッショナル・カンパニー。提供するサービスは、産業、コンサルティングテーマ、専門性別に多岐にわたり、顧客の経営課題にあわせて、機動的かつ細やかに支援を提供する総合系コンサルティングファーム。","事業戦略・新規事業立上および既存事業の再構築支援、CIOサポート、業務プロセス改善、ならびにシステム設計・構築など、顧客の経営課題にあわせて多岐にわたるサービスを提供する総合系コンサルティングファーム。顧客志向・高品質サービスをベースに、大手ファームのOBが中心となって設立。顧客満足度も非常に高い。経営層だけでなく、日本の企業を実質的に動かしているミドル層にも手厚いサービスを提供。本当に必要な企業変革プロセスの実行を確実に支援。特に顧客企業の担当者と共に作業し、協働作業を通じて成果を挙げることを重視。売上や稼働率への縛りも強くなく、顧客の課題解決のために最善のコンサルティングサービスを提供できるのが強みであり特徴。コンサルタントとして本物のスキルを身に付け、真のソリューションの提供で顧客満足を追及したい人には最適の環境。「コンサルタントが活躍するコンサルタントのための会社」であるため、創り上げた“企業文化”や“制度”は非常にユニーク。会社の意思決定や経営状況を社員に公開し、制度構築や意思決定に加わることが可能。評価制度や教育制度など、公正であり厳しくもある環境が現在の成長を支えている。","2000","3","18200","127","東京都","港区赤坂2-17-7　赤坂溜池タワー8F","経営層をはじめ、優秀な人材が魅力の企業です。海外が絡んだPJも6割を超えており、グローバルな環境でスキル・キャリアを身に付けることもできます。","半藤","2013/07/01 19:13:37"
"1004526","1","0","","","","非公開","","","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","09","01","ITコンサルタント","システムコンサルタント","スカイライトコンサルティング株式会社","コンサルタント（第二新卒採用）","顧客企業の経営課題を解決するため、ビジネスとITの専門知識を駆使したコンサルティングサービスを提供します。対象領域は産業・コンサルティングテーマ・専門性別に多岐に渡ります。皆さんが今まで培った経験に加え、顧客の状況に柔軟に対応し、既存の枠にとらわれない新しいビジネスを創造していきます。まずは入社時にシニアマネージャークラスが張り付いての導入研修を行い、その後はOJTと研修等によりコンサルタントとして成長していただきます。","実務経験3年以上。IT、業務を含めたコンサルタントを目指していきたい方。人物・マインド（経営理念＝「顧客の成功を創造し、顧客と成功体験を共有する」に共感できる方）等を重視します。困難な課題に取り組む意欲、変革意識に富んだ方。現状を鵜呑みにせず、問題の本質を見抜く力のある方。課題抽出力、ならびに対処案の発想力のある方。自ら実践する力のある方。","コンサルティング会社、SI・IT業界でのコンサルタント、SEとしての実務経験をお持ちの方歓迎。","------","","コミットメントの高い方。社交性のある方。熱意を持って相手を説得できる方。相手の立場や理解度を考慮しながらコミュニケーションができる方。論理性・一貫性のある方。自己啓発力がある方。リーダーシップを発揮して、チームで成果を挙げることができる方。","SE、コンサルタント経験。ビジネス・ITを駆使したコンサルティングを行いたいという思いをお持ちの方。","東京都","港区","","","大卒以上","23","26","400","550","クライアントからの評価も高く、業績も好調。事業拡大、更なるブレークスルーに向けて優秀な方を求めております。","515","会計・システムコンサルティングファーム","顧客企業の経営課題を解決するため、ビジネスとITの専門知識を駆使したコンサルティングサービスを提供。卓越したプロジェクト推進力によって顧客の成功を創造するプロフェッショナル・カンパニー。提供するサービスは、産業、コンサルティングテーマ、専門性別に多岐にわたり、顧客の経営課題にあわせて、機動的かつ細やかに支援を提供する総合系コンサルティングファーム。","事業戦略・新規事業立上および既存事業の再構築支援、CIOサポート、業務プロセス改善、ならびにシステム設計・構築など、顧客の経営課題にあわせて多岐にわたるサービスを提供する総合系コンサルティングファーム。顧客志向・高品質サービスをベースに、大手ファームのOBが中心となって設立。顧客満足度も非常に高い。経営層だけでなく、日本の企業を実質的に動かしているミドル層にも手厚いサービスを提供。本当に必要な企業変革プロセスの実行を確実に支援。特に顧客企業の担当者と共に作業し、協働作業を通じて成果を挙げることを重視。売上や稼働率への縛りも強くなく、顧客の課題解決のために最善のコンサルティングサービスを提供できるのが強みであり特徴。コンサルタントとして本物のスキルを身に付け、真のソリューションの提供で顧客満足を追及したい人には最適の環境。「コンサルタントが活躍するコンサルタントのための会社」であるため、創り上げた“企業文化”や“制度”は非常にユニーク。会社の意思決定や経営状況を社員に公開し、制度構築や意思決定に加わることが可能。評価制度や教育制度など、公正であり厳しくもある環境が現在の成長を支えている。","2000","3","18200","127","東京都","港区赤坂2-17-7　赤坂溜池タワー8F","経営層をはじめ、優秀な人材が魅力の企業です。コンサルタントとして、しっかりしたキャリアが身につきます。","半藤","2013/07/01 19:13:36"
"1005885","1","0","ハイクラス","","","非公開","","","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","09","01","ITコンサルタント","システムコンサルタント","09","05","ITコンサルタント","その他","スカイライトコンサルティング株式会社","コンサルティングマネージャー","顧客企業の経営課題を解決するため、ビジネスとITの専門知識を駆使したコンサルティングサービスを提供。特に顧客企業とともに協働しながらプロジェクトを推進し、成果を挙げることを重視。産業分野は金融、製造、情報通信、流通・小売、官公庁と偏りがなく、コンサルティングテーマもBPR/BPO、新規事業構築にはじまりCRM、経営管理/ERP、ITガバナンス、SCM、ブランディングなどに携わる。顧客企業は一部上場企業からベンチャー企業まで多岐に渡る。皆さんが今まで培った経験をもとに、さらに幅広い経験を重ねながら、顧客の状況に柔軟に対応し、既存の枠にとらわれない新しいビジネスを創造していきます。日本企業の海外進出支援、グローバルのBPR/システム導入など海外案件も増加しており、現在はグローバルPJが6割を超える。","大卒以上で10年程度のビジネス経験のある方。コンサルティング会社にてマネジャー或いはシニアマネジャーとして経験のある方。","グローバルプロジェクトのマネジメント・推進経験。経験と共に、人物・マインド（経営理念＝「顧客の成功を創造し、顧客と成功体験を共有する」に共感できる方）等を重視します。　困難な課題に取り組む意欲、変革意識に富んだ方。現状を鵜呑みにせず、問題の本質を見抜く力のある方。課題抽出力、ならびに対処案の発想力のある方。自ら実践する力のある方。","------","","これまでの経験を活かして、一企業の課題解決に留まらず、業界全体や世の中についての課題を解決したり、新たな価値を創造していける「志」を持っている人。<BR>提案から経営課題の解決まで、お客様と協働しながらプロジェクトを推進し、責任感をもってやりぬく力が必要になります。","コンサルティングマネージャー経験。","東京都","港区","","","大卒以上","28","38","900","1500","クライアントからの評価も高く、業績も好調。事業拡大、更なるブレークスルーに向けて優秀な方を求めております。","515","会計・システムコンサルティングファーム","顧客企業の経営課題を解決するため、ビジネスとITの専門知識を駆使したコンサルティングサービスを提供。卓越したプロジェクト推進力によって顧客の成功を創造するプロフェッショナル・カンパニー。提供するサービスは、産業、コンサルティングテーマ、専門性別に多岐にわたり、顧客の経営課題にあわせて、機動的かつ細やかに支援を提供する総合系コンサルティングファーム。","事業戦略・新規事業立上および既存事業の再構築支援、CIOサポート、業務プロセス改善、ならびにシステム設計・構築など、顧客の経営課題にあわせて多岐にわたるサービスを提供する総合系コンサルティングファーム。顧客志向・高品質サービスをベースに、大手ファームのOBが中心となって設立。顧客満足度も非常に高い。経営層だけでなく、日本の企業を実質的に動かしているミドル層にも手厚いサービスを提供。本当に必要な企業変革プロセスの実行を確実に支援。特に顧客企業の担当者と共に作業し、協働作業を通じて成果を挙げることを重視。売上や稼働率への縛りも強くなく、顧客の課題解決のために最善のコンサルティングサービスを提供できるのが強みであり特徴。コンサルタントとして本物のスキルを身に付け、真のソリューションの提供で顧客満足を追及したい人には最適の環境。「コンサルタントが活躍するコンサルタントのための会社」であるため、創り上げた“企業文化”や“制度”は非常にユニーク。会社の意思決定や経営状況を社員に公開し、制度構築や意思決定に加わることが可能。評価制度や教育制度など、公正であり厳しくもある環境が現在の成長を支えている。","2000","3","18200","127","東京都","港区赤坂2-17-7　赤坂溜池タワー8F","経営層をはじめ、優秀な人材が魅力の企業です。海外が絡んだPJも6割を超えており、グローバルな環境でスキル・キャリアを身に付けることもできます","半藤","2013/07/01 19:13:34"
