"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"1008362","1","0","ハイクラス","","","","","","03","00","経営企画・事業企画","","08","01","営業","営業管理職","07","03","その他企画・事務・管理","企画系","株式会社ミスミグループ本社","事業統括ディレクター","FA、モールド、プレスの各企業体における各事業部長の下で担当事業のPL・BSに責任を持つ。4年、2年、1年のビジネスプラン、予算策定。ビジネスプランの実行と検証。販促、プライシング、商品開発、協力メーカーの開発管理、顧客対応など個別事項のエスカレーション対応。チームメンバー（5-8名程度）のマネジメントおよび育成。事業部単位、全社単位のプロジェクトへの参画。事業経験度合いにより経営企画室にて1-2年の経験を重ねた後に各事業グループへ異動することもありえる。","メーカー、総合商社、コンサルティング業界出身者で経営者、経営幹部経験者、営業責任者など、損益責任負った事業運営経験をお持ちの方。グループ子会社、出資企業等での役員クラスの経験をお持ちの方。ビジネスプラン策定能力、経験、実行能力をお持ちの方。事業を俯瞰する力があり、体系的に物事を考えることができる方。論理性があり、情熱があり、謙虚で柔軟な方。","新規ビジネスの開発、立ち上げ、または既存事業においての業績好転などの変革成功経験者　電気、電子、機械、メカトロ業界出身者は歓迎。目標達成意欲の高い方。","スタンダードレベル","","論理性、謙虚さ、熱き心を兼ね備えた方。","損益責任を負った経験をお持ちの方。","東京都","江東区","","","大卒以上","35","42","700","1100","セル分裂による新設、異動による戦力補強。","456","その他","持株会社。傘下にはカタログ通販を事業の柱とする商社と部品製造メーカーを持つ。自動化事業、金型部品事業、エレクトロニクス事業、光関連事業がメイン。2002年に現会長が社長に就任し、大きな飛躍を遂げた。スモール・イズ・ビューティフルとの組織コンセプトの下、小さな組織で事業をまわすことを目指している。また、経営人材の育成にも積極的で、権限委譲体制なども整備されている点は大きな魅力。","多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。三枝氏が会長になられ、今後は社内スクールにも積極的に参加予定。","1963","","468100","4049","東京都","江東区東陽2-4-43","担当事業の成長・拡大がミッションです。ビジネスプランを作成し、戦略立案・実行、組織運営、PL管理など小規模ながら1事業チームの経営者的な立場です。","山田","2009/12/01 15:53:51"
"1008689","1","0","ハイクラス","","","","","","11","00","WEB・モバイル関連","","11","00","WEB・モバイル関連","","03","00","経営企画・事業企画","","株式会社ミスミグループ本社","統括ディレクター／グローバル5C推進室・WEBマーケティング","WEBサイトの企画、ディレクション業務。新規立ち上げから運用管理まで一貫して行う。企画全般、システムベンダーおよびデザイン会社・制作会社のコントロールなど。カタログ販売とWEB経由販売が並列されており、その発注用WEBサイトのプロデュース全般を担当。「短納期1個流し」のコンセプトと連動するため、全社のSCM戦略に対する理解を土台としたWEBサイト構築がミッションです。2-3名の部下のマネジメントも含まれます。","マーケティング知識（WEBマーケティング関連）、コミュニケーションスキル、リーダーシップをお持ちの方。WEBプロデューサー・ディレクター経験。ECサイト、ポータルサイトの構築経験。WEB事業の経験。システム開発経験。飲み込みが早いこと。プロジェクト管理・ディレクションをやりつつ自ら手を動かすことのできる方。WEBシステム、デザイン、コンテンツ企画など幅広い知識と経験を持っていること。","経営志向をお持ちの方。現状打破へのパワーをお持ちの方。向上心をお持ちの方。目標達成意欲の高い方。","","","論理性、謙虚さ、熱い心を兼ね備えた方。","自社サイトのWEBプロデュース経験。","東京都","江東区","","","大卒以上","30","40","700","1200","社内異動に伴う増員。","456","その他","持株会社。傘下にはカタログ通販を事業の柱とする商社と部品製造メーカーを持つ。自動化事業、金型部品事業、エレクトロニクス事業、光関連事業がメイン。2002年に現会長が社長に就任し、大きな飛躍を遂げた。スモール・イズ・ビューティフルとの組織コンセプトの下、小さな組織で事業をまわすことを目指している。また、経営人材の育成にも積極的で、権限委譲体制なども整備されている点は大きな魅力。","多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。三枝氏が会長になられ、今後は社内スクールにも積極的に参加予定。","1963","","468100","4049","東京都","江東区東陽2-4-43","SCM戦略に根ざし、マーケティング、営業、事業戦略などの要素をきちんと理解し、バランスの取れたWEBサイト構築をお願いします。","松尾","2009/12/01 15:53:50"
"1008706","1","0","ハイクラス","","","","","","04","01","マーケティング・広報・IR","マーケティング","03","00","経営企画・事業企画","","07","03","その他企画・事務・管理","企画系","株式会社ミスミグループ本社","次長（国際プロダクト部門）/FA国際企業体","戦略商品担当の海外展開に責任を負う。国内の主管事業部および各海外現法のＦＡ事業責任者と連携をとり、担当商品の短中長期戦略を立案し、計画実行を主導する。時にバックエンド（生産体制）に踏み込んだ戦略を構築し、世界最適調達・最適販売を実現する。","設計、商品開発、生産技術など機械工学知識必須。マーケティング経験、事業経験歓迎。論理的思考能力。問題解決能力/判断力。","","ベーシックレベル","","論理性、謙虚さ、熱き心をお持ちの方。","","東京都","江東区","","","大卒以上","33","38","800","1000","組織強化に向けた増員。","456","その他","持株会社。傘下にはカタログ通販を事業の柱とする商社と部品製造メーカーを持つ。自動化事業、金型部品事業、エレクトロニクス事業、光関連事業がメイン。2002年に現会長が社長に就任し、大きな飛躍を遂げた。スモール・イズ・ビューティフルとの組織コンセプトの下、小さな組織で事業をまわすことを目指している。また、経営人材の育成にも積極的で、権限委譲体制なども整備されている点は大きな魅力。","多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。三枝氏が会長になられ、今後は社内スクールにも積極的に参加予定。","1963","","468100","4049","東京都","江東区東陽2-4-43","事業全体の成長戦略策定に関与できることが魅力です。将来的には海外勤務の可能性もあります。","山田","2009/12/01 15:53:49"
"1008693","1","0","ハイクラス","","","","","","05","00","人事","","","","","","","","","","株式会社ミスミグループ本社","海外担当次長（人材開発室）","人事権は海外現法マネジメントに持たせながらも、人事のプロとして、組織・人事論の構築・運用を主導。人材ニーズの充足度を採用、定着、育成、の面から検討し、組織力向上のための戦略・施策を検討、実行する。場の空気を読みつつも、経営的な視点からあるべき環境を追求し、問題提起・解決・推進を図っていける柔軟性・推進力を重視。","人事制度設計経験。海外現法のマネジメント経験、感覚をお持ちの方。俯瞰力、柔軟性、対応力、瞬発力を兼ね備えている方。英語力、MBA保有者歓迎。","経営志向をお持ちの方。現状打破へのパワーをお持ちの方。向上心をお持ちの方。目標達成意欲の高い方。","スタンダードレベル","","論理性、熱き心、人間性を兼ね備えた人。","人事制度設計経験。","東京都","江東区","","","大卒以上","35","40","700","1100","組織強化に向けた増員。","456","その他","持株会社。傘下にはカタログ通販を事業の柱とする商社と部品製造メーカーを持つ。自動化事業、金型部品事業、エレクトロニクス事業、光関連事業がメイン。2002年に現会長が社長に就任し、大きな飛躍を遂げた。スモール・イズ・ビューティフルとの組織コンセプトの下、小さな組織で事業をまわすことを目指している。また、経営人材の育成にも積極的で、権限委譲体制なども整備されている点は大きな魅力。","多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。三枝氏が会長になられ、今後は社内スクールにも積極的に参加予定。","1963","","468100","4049","東京都","江東区東陽2-4-43","海外現法がより強くなるために人事制度を構築し運用していただくシニアなポジションです。","山田","2009/12/01 15:53:46"
"1008691","1","0","ハイクラス","","","","","","16","00","その他","","16","00","その他","","","","","","株式会社ミスミグループ本社","次長または課長／ロジスティクスセンター","東西流通センターにおける現場改善のネタを収集・企画立案、実際に現場を指導することにより、生産性の改善やコストリダクションを遂行し、顧客に対する貢献を担う改善業務。「短納期1個流し」のビジネスモデルをより強固なものとすることを期待。勤務地は本社（東京）だが、東流通センター（横浜）、西流通センター（兵庫）への頻繁な出張が伴う。3-5名のマネジメント。","改善、改革の経験をお持ちで、改善、改革をドライブする実行力およびその実績、リーダーシップを発揮できる方。ゼロから産み出す力のある方。エンジニアリング的な思考、論理思考力を兼ね備えた方。SCMなどの戦略ロジスティクスシステムの知見をお持ちの方。物流現場での改善経験をお持ちの方。SCMコンサルティング経験者（単なるコンサルだけでなく事業会社経験もあるとベター）。","経営志向をお持ちの方。現状打破へのパワーをお持ちの方。向上心をお持ちの方。目標達成意欲の高い方。","スタンダードレベル","","粘り強く事にあたり、決定後はチームをその方向に全力で導いていけるリーダーシップ能力の高い方。<BR>","物流現場での実務経験。","東京都","江東区","","","大卒以上","35","42","700","1200","組織強化のための増員。","456","その他","持株会社。傘下にはカタログ通販を事業の柱とする商社と部品製造メーカーを持つ。自動化事業、金型部品事業、エレクトロニクス事業、光関連事業がメイン。2002年に現会長が社長に就任し、大きな飛躍を遂げた。スモール・イズ・ビューティフルとの組織コンセプトの下、小さな組織で事業をまわすことを目指している。また、経営人材の育成にも積極的で、権限委譲体制なども整備されている点は大きな魅力。","多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。三枝氏が会長になられ、今後は社内スクールにも積極的に参加予定。","1963","","468100","4049","東京都","江東区東陽2-4-43","流通センターの改革、モデル革新を目指し、生産性向上、リードタイム削減、コストダウン等パフォーマンス向上の施策の立案および実行がミッション。","松尾","2009/12/01 15:53:36"
"1008624","1","0","ハイクラス","","","","","","06","00","経理・財務・会計","","06","00","経理・財務・会計","","06","00","経理・財務・会計","","株式会社ミスミグループ本社","海外担当次長（ファイナンス室）","海外現地法人のファイナンス管理担当。管理会計中心だが、キャッシュフロー管理、現地法人のクロージングなど実務面の支援も行う。海外現地法人との日常的コンタクトを通じ、現地法人のファイナンス管理を指導。海外現地法人の財務管理が未成熟な中で、各現地法人のマネジャー/担当者を指導・育成し、世界中で高品質のアウトプットが出てくるような体制整備・実務上のヘルプを行う。時には長期出張にて現地に入りこみ、会計をきちんと「締める」などの責任も負う。海外現地法人からは、当該ディレクターが日本側の全窓口となるため、担当者へのきめ細かい対応が求められる。","管理会計・財務会計の経験5年以上。メーカー経理出身者歓迎。会計知識、他部門との交渉力、ストレス耐性。マネジメントレポート能力。PCスキル（EXCEL、PP）。ビジネスレベルの英語力をお持ちの方。連結担当マネジャー、メーカー経理担当マネジャー、外資系企業における管理会計担当マネジャーのご経験者。","経営志向をお持ちの方。現状打破へのパワーをお持ちの方。向上心をお持ちの方。目標達成意欲の高い方。","ビジネスレベル","","論理性、熱き心、人間性を兼ね備えた人。","管理会計経験。財務会計経験。連結経験。","東京都","江東区","","","大卒以上","35","40","700","1100","前任者退職のため。","456","その他","持株会社。傘下にはカタログ通販を事業の柱とする商社と部品製造メーカーを持つ。自動化事業、金型部品事業、エレクトロニクス事業、光関連事業がメイン。2002年に現会長が社長に就任し、大きな飛躍を遂げた。スモール・イズ・ビューティフルとの組織コンセプトの下、小さな組織で事業をまわすことを目指している。また、経営人材の育成にも積極的で、権限委譲体制なども整備されている点は大きな魅力。","多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。三枝氏が会長になられ、今後は社内スクールにも積極的に参加予定。","1963","","468100","4049","東京都","江東区東陽2-4-43","海外現地法人の財務管理体制をより強固なものにして頂くためのポジションです。海外出張も豊富です。","山田","2009/12/01 15:53:35"
