"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"1016900","1","0","","","","非公開","","","02","01","ビジネスコンサルタント","経営戦略系","02","06","ビジネスコンサルタント","その他","3","0","経営企画・事業企画","","イーソリューションズ株式会社","ビジネスプロデューサー（ソーシャルイノベーション１）","生活者視点の問題から国際競争力など国家視点の問題まで、日本が直面している社会問題を解決する事業に取り組んでいます。最近では、ワークライフバランス、少子高齢化、地域ビジネス等の国家的に課題とされるテーマでの事業立ち上げ、推進をしており、休暇取得促進の国民運動である“ポジティブ・オフ”や、大手小売り事業者と通信事業者の連携による生活支援ビジネス、等が立ち上がっております。また、観光やエネルギー、ICT等をテーマに、大手企業向けの事業推進、更なる新規事業の提案も同時に行っています。直近で想定しているプロジェクトに、福島を中心とした震災復興支援を手がけるポジションがあります。大河ドラマ「八重の桜」をメインにNHKと連携し、中長期間にわたり復興支援の啓蒙活動、および復興支援事業を展開。大手企業をメインに協賛企業を集め新組織・会社を設立し、事業を推進。ゼロから事業を立ち上げ、プロデュースします。","社会的責任のマーケティングという観点で、社会的重要テーマをビジネスとして成立させることに興味、関心をお持ちの方。官民両領域において、単なる社会貢献のための課題解決ではなく、継続的に収益化する事業創造に挑戦したい方。事業会社、コンサルティングファームでの戦略立案経験、事業推進の経験を有する方。新サービス、新商品や新規事業の企画、マーケティング等の経験を有している方。大手企業・官公庁のTOP・キーパーソンなど、エグゼクティブクラスと渡り合えるコミュニケーションスキル、論理的思考力をお持ちの方。","フレームワークを使ってロジカルに物事を整理し、正しく捉えて、オーナーシップを持って主体的に動ける方、動いてきた方。自分のやり方にとらわれず、新しいやり方・ノウハウを学びながら柔軟に取り組んでいける方。新規の法人営業（顧客開拓）や、新規事業立ち上げ・推進等の経験を有していると尚可。ベーシックな戦略コンサルティングスキルだけでなく、経営者の視点で事業運営に係わる事業家としての素養、スキル。","------","","コミュニケーション能力が高い方。精神力・ストレス耐性のある方。論理的思考、問題発見・解決能力の備わった方。今までの経験にこだわらず、新しいノウハウを学びながら、主体性を持って業務に取り組み成長しようという意欲が高い方。","事業会社、コンサルティングファームでの戦略立案経験、事業推進の経験。","東京都","港区","","","大卒以上","25","32","400","800","事業拡大に伴う募集。","210126","戦略コンサルティングファーム","大企業や官公庁と社会的重要テーマをビジネスのフレームワークで解決することを目指し、戦略コンサルティング・事業プロデュース・VC投資等、テーマに合わせ最適な形でビジネスプロデュースを行う。「事業プロデュース」の活動を通じて社会に新しい価値をもたらすことを目的に、リーディング企業の新規事業プロデュースや事業戦略立案、国家的課題を解決する社会システムのデザインを行う少数精鋭のプロフェッショナルファーム。","環境、健康、教育、食料、その他安全安心など「社会的重要テーマ」を軸に社会的に重要性が高いテーマを事業プロデュース。一方で、社会的重要性が高くとも継続・拡大しなければ大きな価値を提供できないため、「ビジネス」を設定し、これまでに培ったビジネスのフレームワークで事業の継続と拡大を図る。さらに「未来デザイン(構想化)」を設定し、未来に向けて事業及び社会システムをデザイン/イノベーション。チームマイナス6％のプロジェクトリードをはじめ、食料自給率向上や新型インフルエンザ対策、震災復興支援、ワークライフバランス、少子高齢化、地域ビジネス等の国家的に課題とされるテーマでの事業立ち上げ、推進をしており、休暇取得促進の国民運動である“ポジティブ・オフ”や、大手小売り事業者と通信事業者の連携による生活支援ビジネスなど、生活者視点から国家視点の問題解決に取り組んでいる。東大・三井不動産と共同で社団法人を設立。日本が抱える様々な問題を解決する「先進モデル」の実現にも取り組む。第一弾として「スマートシティ企画」を立上げ、グローバル展開する企業連合を構築し日本から世界に発信するスマートシティプロジェクトを展開。","1999","1","49998","50","東京都","港区虎ノ門4－3－1　城山JTトラストタワー17階","政府・官公庁、大企業のTOPとビジネスを創りまわしますので、世の中の動き、ビジネスの仕組みの理解、豊富なネットワークの構築ができるのは大きな魅力です。","半藤","2013/03/20 11:08:40"
"1016901","1","0","","","","非公開","","","02","01","ビジネスコンサルタント","経営戦略系","02","06","ビジネスコンサルタント","その他","3","0","経営企画・事業企画","","イーソリューションズ株式会社","ビジネスプロデューサー（ソーシャルイノベーション２）","生活者視点の問題から国際競争力など国家視点の問題まで、日本が直面している社会問題を解決する事業に取り組んでいます。最近では、ワークライフバランス、少子高齢化、地域ビジネス等の国家的に課題とされるテーマでの事業立ち上げ、推進をしており、休暇取得促進の国民運動である“ポジティブ・オフ”や、大手小売り事業者と通信事業者の連携による生活支援ビジネス、等が立ち上がっております。また、観光やエネルギー、ICT等をテーマに、大手企業向けの事業推進、更なる新規事業の提案も同時に行っています。直近で想定しているプロジェクトとして、大手電機メーカーのリチウム蓄電池、スマートメーターなどのエネルギー事業の市場拡大、海外進出支援など事業戦略立案～実行支援までの事業プロデュースがあります。スマートシティ事業部と連携を取りながら、エネルギー政策をふまえて戦略立案～推進を支援します。","社会的責任のマーケティングという観点で、社会的重要テーマをビジネスとして成立させることに興味、関心をお持ちの方。官民両領域において、単なる社会貢献のための課題解決ではなく、継続的に収益化する事業創造に挑戦したい方。事業会社、コンサルティングファームでの戦略立案経験、事業推進の経験を有する方。新サービス、新商品や新規事業の企画、マーケティング等の経験を有している方。大手企業・官公庁のTOP・キーパーソンなど、エグゼクティブクラスと渡り合えるコミュニケーションスキル、論理的思考力をお持ちの方。","フレームワークを使ってロジカルに物事を整理し、正しく捉えて、オーナーシップを持って主体的に動ける方、動いてきた方。自分のやり方にとらわれず、新しいやり方・ノウハウを学びながら柔軟に取り組んでいける方。新規の法人営業（顧客開拓）や、新規事業立ち上げ・推進等の経験を有していると尚可。ベーシックな戦略コンサルティングスキルだけでなく、経営者の視点で事業運営に係わる事業家としての素養、スキル。","------","","コミュニケーション能力が高い方。精神力・ストレス耐性のある方。論理的思考、問題発見・解決能力の備わった方。今までの経験にこだわらず、新しいノウハウを学びながら、主体性を持って業務に取り組み成長しようという意欲が高い方。","事業会社、コンサルティングファームでの戦略立案経験、事業推進の経験。","東京都","港区","","","大卒以上","25","32","400","800","事業拡大に伴う募集。","210126","戦略コンサルティングファーム","大企業や官公庁と社会的重要テーマをビジネスのフレームワークで解決することを目指し、戦略コンサルティング・事業プロデュース・VC投資等、テーマに合わせ最適な形でビジネスプロデュースを行う。「事業プロデュース」の活動を通じて社会に新しい価値をもたらすことを目的に、リーディング企業の新規事業プロデュースや事業戦略立案、国家的課題を解決する社会システムのデザインを行う少数精鋭のプロフェッショナルファーム。","環境、健康、教育、食料、その他安全安心など「社会的重要テーマ」を軸に社会的に重要性が高いテーマを事業プロデュース。一方で、社会的重要性が高くとも継続・拡大しなければ大きな価値を提供できないため、「ビジネス」を設定し、これまでに培ったビジネスのフレームワークで事業の継続と拡大を図る。さらに「未来デザイン(構想化)」を設定し、未来に向けて事業及び社会システムをデザイン/イノベーション。チームマイナス6％のプロジェクトリードをはじめ、食料自給率向上や新型インフルエンザ対策、震災復興支援、ワークライフバランス、少子高齢化、地域ビジネス等の国家的に課題とされるテーマでの事業立ち上げ、推進をしており、休暇取得促進の国民運動である“ポジティブ・オフ”や、大手小売り事業者と通信事業者の連携による生活支援ビジネスなど、生活者視点から国家視点の問題解決に取り組んでいる。東大・三井不動産と共同で社団法人を設立。日本が抱える様々な問題を解決する「先進モデル」の実現にも取り組む。第一弾として「スマートシティ企画」を立上げ、グローバル展開する企業連合を構築し日本から世界に発信するスマートシティプロジェクトを展開。","1999","1","49998","50","東京都","港区虎ノ門4－3－1　城山JTトラストタワー17階","政府・官公庁、大企業のTOPとビジネスを創りまわしますので、世の中の動き、ビジネスの仕組みの理解、豊富なネットワークの構築ができるのは大きな魅力です。","半藤","2013/03/20 11:08:39"
"1016904","1","0","","","","非公開","","","02","01","ビジネスコンサルタント","経営戦略系","2","6","ビジネスコンサルタント","その他","3","0","経営企画・事業企画","","イーソリューションズ株式会社","ビジネスプロデューサー（スマートシティ）","産学連携で立ち上げた社団法人(※)の第1弾テーマとして、国内外の各業界のリーディング企業23社と共に、CO2削減とQOL向上を実現するスマートシティのトータルソリューションを世界中の都市に展開することを目指す。参画企業とのジョイントベンチャーの設立、運営、及び事業戦略の立案、推進。参画企業と連携し合い、CO2削減に貢献するスマートシティの先進モデルを設計し、それを世界に向けて提供することを目指す。実証実験計画・事業計画の策定、および事業推進に伴う会議運営・管理、企業間調整、資金調達の計画・実施など。大手メーカーをはじめ、複数の企業と新会社を設立し、千葉県の学園都市で実証実験もスタート。中核メンバーとしてプロジェクトを推進していきます。※社団法人は「課題解決先進国日本」をテーマに高齢化社会や環境問題と言った社会的関心の高いテーマに産学連携で取り組んで行くためのモデルを実現して行くために設立。","次のいずれかの経験・志向をお持ちの方。都市計画、環境エネルギー（特に電力、再生可能エネルギー等）、交通システム等の知見があり、スマートシティ環境配慮型の街づくり（エコタウン）への興味をお持ちの方を求めています。理系出身で、環境、エネルギー・電力関連、環境配慮型都市開発の取組みへの興味。コンサルティング業界の戦略立案経験、または大手企業での戦略立案・事業開発、新会社設立経験。大手企業・官公庁のTOP・キーパーソンなど、エグゼクティブクラスと渡り合えるコミュニケーションスキル、論理的思考力、対応力。","フレームワークを使ってロジカルに物事を整理し、正しく捉えて、オーナーシップを持って主体的に動ける方、動いてきた方。自分のやり方にとらわれず、新しいやり方・ノウハウを学びながら柔軟に取り組んでいける方。環境エネルギー、ユーティリティ・電力業界関連の知見、電力関連のシュミレーションソフトウェア、蓄電池・太陽電池・電力関連装置などの技術と知見がある方尚可。ベーシックな戦略コンサルティングスキルだけでなく、経営者の視点で事業運営に係わる事業家としての素養、スキル。","------","","地頭が良く仮説を論理的に説明できる方。マネジメントスキルのある方。コミュニケーション能力の高い方。論理的思考、問題発見・解決能力の備わった方。精神力・ストレス耐性のある方。今まで培ったノウハウを学びながら、主体性を持って業務に取り組み成長しようという意欲が高い方。","大手上場企業、またはコンサルティングファームでの経験。ビジネスフレームワーク策定、新会社設立経験。環境、エネルギー、ユーティリティ、電力業界の知見を持つ方。","東京都","港区","","","大卒以上","25","32","400","800","事業拡大に伴う募集。","210126","戦略コンサルティングファーム","大企業や官公庁と社会的重要テーマをビジネスのフレームワークで解決することを目指し、戦略コンサルティング・事業プロデュース・VC投資等、テーマに合わせ最適な形でビジネスプロデュースを行う。「事業プロデュース」の活動を通じて社会に新しい価値をもたらすことを目的に、リーディング企業の新規事業プロデュースや事業戦略立案、国家的課題を解決する社会システムのデザインを行う少数精鋭のプロフェッショナルファーム。","環境、健康、教育、食料、その他安全安心など「社会的重要テーマ」を軸に社会的に重要性が高いテーマを事業プロデュース。一方で、社会的重要性が高くとも継続・拡大しなければ大きな価値を提供できないため、「ビジネス」を設定し、これまでに培ったビジネスのフレームワークで事業の継続と拡大を図る。さらに「未来デザイン(構想化)」を設定し、未来に向けて事業及び社会システムをデザイン/イノベーション。チームマイナス6％のプロジェクトリードをはじめ、食料自給率向上や新型インフルエンザ対策、震災復興支援、ワークライフバランス、少子高齢化、地域ビジネス等の国家的に課題とされるテーマでの事業立ち上げ、推進をしており、休暇取得促進の国民運動である“ポジティブ・オフ”や、大手小売り事業者と通信事業者の連携による生活支援ビジネスなど、生活者視点から国家視点の問題解決に取り組んでいる。東大・三井不動産と共同で社団法人を設立。日本が抱える様々な問題を解決する「先進モデル」の実現にも取り組む。第一弾として「スマートシティ企画」を立上げ、グローバル展開する企業連合を構築し日本から世界に発信するスマートシティプロジェクトを展開。","1999","1","49998","50","東京都","港区虎ノ門4－3－1　城山JTトラストタワー17階","政府・官公庁、大企業のTOPとビジネスを創りまわしますので、世の中の動き、ビジネスの仕組みの理解、豊富なネットワークの構築ができるのは大きな魅力です。","半藤","2013/03/20 11:08:37"
