"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"1009872","1","0","ハイクラス/外資系","1","","","","","10","03","ITエンジニア","汎用系・制御系","10","02","ITエンジニア","オープン系システム","","","","","ウィプロテクノロジーズ","ブリッジSE","日系のメーカー先で、携帯端末のR&D業務を担当して頂きます。インターフェイス寄りのソフト開発を想定しています。","OracleDBA、．Net、C#の開発経験がある方。日本語、英語がビジネスレベルを求めます。","携帯端末向けのソフト開発経験者、歓迎。","ビジネスレベル","","向上心が高く、グローバルを舞台にしたビジネス経験を積みたいとお考えの方。","英語を使用したソフト開発経験。","","","","","大卒以上","27","35","500","900","事業拡大に伴う採用。","210517","会計・システムコンサルティングファーム","グローバルITサービスを展開するインド系IT企業大手企業。NYSEに上場するグループで財務体制は強固。インダストリー別のビジネスコンサルから要件定義、上流設計を行う。日本でのビジネスの多くはプライム。グローバルのITトレンド、経験（開発手法、パッケージ）が強みでビジネスを大きく伸ばしている。","インド系ITベンダーの代表的企業。グローバルで社員数92000人以上。日本市場向けのエンジニア数2500名以上。ここ数年売上、利益共に30％増を継続し、グローバルで第4～5位で、ガートナー予想では数年内にTOPになる可能性があると発表された。日本国内でも順調に事業を拡大していて、長期契約が多いので来期は既に前年の売上を越えることはほぼ確実で数年以内に倍以上の売上になる見通し。それに伴い、社員数も数十名増やす予定。好調な要因として、他のインド系ITベンダーはグローバル企業のスポット案件が多い事に対して、同社は日本法人独自で国内のプライム案件を受注できている事が挙げられる。インド系のオフショア開発を手掛けている会社の中でも利益率は圧倒的に高い。社内はドキュメント、メールなど英語でのコミュニケーションが中心。本国のエンジニア向けに日本語教育なども充実させている。「リーダーにふさわしいトップ企業」等、各誌のランキングにでも多数上位でランクインしている。","1998","","","180","神奈川県","横浜市みなとみらい2-2-1-1　ランドマークタワー911A","語学力を活かしてグローバル案件を手掛けられ、待遇面も魅力的です。","入江","2010/06/16 15:12:57"
"1009668","1","0","ハイクラス/外資系","1","","","","","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","10","05","ITエンジニア","ERP・SCM・CRM","","","","","ウィプロテクノロジーズ","ERP導入コンサルタント","大手クライアントに対する、ERP導入、保守、運用のプロジェクトを担当して頂きます。対象業界は、製造業、小売業、運輸、サービス業など多肢に渡ります。","ERP導入、保守、運用の経験者。パッケージはSAP、ORACLE、Peopleソフトなど。TOEIC700点以上。","セールス業務の経験者、歓迎。会計モジュールの経験、理解がある方が望ましい。","ビジネスレベル","","グローバルな環境で活躍したいと考えている方","バイリンガルでのITサービス経験","神奈川県","横浜市","","","大卒以上","33","45","700","1100","ビジネス拡大に伴う増員です。","210517","会計・システムコンサルティングファーム","グローバルITサービスを展開するインド系IT企業大手企業。NYSEに上場するグループで財務体制は強固。インダストリー別のビジネスコンサルから要件定義、上流設計を行う。日本でのビジネスの多くはプライム。グローバルのITトレンド、経験（開発手法、パッケージ）が強みでビジネスを大きく伸ばしている。","インド系ITベンダーの代表的企業。グローバルで社員数92000人以上。日本市場向けのエンジニア数2500名以上。ここ数年売上、利益共に30％増を継続し、グローバルで第4～5位で、ガートナー予想では数年内にTOPになる可能性があると発表された。日本国内でも順調に事業を拡大していて、長期契約が多いので来期は既に前年の売上を越えることはほぼ確実で数年以内に倍以上の売上になる見通し。それに伴い、社員数も数十名増やす予定。好調な要因として、他のインド系ITベンダーはグローバル企業のスポット案件が多い事に対して、同社は日本法人独自で国内のプライム案件を受注できている事が挙げられる。インド系のオフショア開発を手掛けている会社の中でも利益率は圧倒的に高い。社内はドキュメント、メールなど英語でのコミュニケーションが中心。本国のエンジニア向けに日本語教育なども充実させている。「リーダーにふさわしいトップ企業」等、各誌のランキングにでも多数上位でランクインしている。","1998","","","180","神奈川県","横浜市みなとみらい2-2-1-1　ランドマークタワー911A","日本法人のビジネスはほぼプライムです。インド系ITベンダーの中で最も勢いのある会社です。","入江","2010/06/16 15:12:55"
"1009667","1","0","ハイクラス/外資系","1","","","","","09","05","ITコンサルタント","その他","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","ウィプロテクノロジーズ","ビジネスディベロップメントMGR・プログラムMGR","テクノロジー分野での新規開拓と既存クライアントの新規ビジネス創出。クライアントの状況を把握し的確なソリューション提案（ソフトウェア、アプリケーション、SI、サポートシステム、ネットワークマネジメントシステム）を実施。クライアントのCXOレベルに対する提案。クライアントの長期的なリレーション構築。対象インダストリーは、金融、製造、小売、サービス、航空などがあります。","テクノロジー分野での６年以上のセールス経験。コンサルティング営業経験。企業、業界の情報収集・分析。複雑なテクノロジーをビジネスに落としていく力、コミュニケーション力。直近のトレンドテクノロジーに関する経験か知識。CXOクラスとの強い人脈。早期に新規ビジネスの立ち上げと、既存ビジネスの拡大の見込みを立てれる方。バイリンガル。５億程度の案件の交渉経験。","【尚可】MBA、ピープルマネジメント経験","ビジネスレベル","","目標達成に向けたコミットメント力、プレゼンスキル、コミュニケーションスキル、新規開拓力がある方。","コンサルティング業界、IT業界で経営層に対する営業経験。","神奈川県","横浜市","","","大卒以上","35","45","1000","4000","事業拡大に伴う採用。","210517","会計・システムコンサルティングファーム","グローバルITサービスを展開するインド系IT企業大手企業。NYSEに上場するグループで財務体制は強固。インダストリー別のビジネスコンサルから要件定義、上流設計を行う。日本でのビジネスの多くはプライム。グローバルのITトレンド、経験（開発手法、パッケージ）が強みでビジネスを大きく伸ばしている。","インド系ITベンダーの代表的企業。グローバルで社員数92000人以上。日本市場向けのエンジニア数2500名以上。ここ数年売上、利益共に30％増を継続し、グローバルで第4～5位で、ガートナー予想では数年内にTOPになる可能性があると発表された。日本国内でも順調に事業を拡大していて、長期契約が多いので来期は既に前年の売上を越えることはほぼ確実で数年以内に倍以上の売上になる見通し。それに伴い、社員数も数十名増やす予定。好調な要因として、他のインド系ITベンダーはグローバル企業のスポット案件が多い事に対して、同社は日本法人独自で国内のプライム案件を受注できている事が挙げられる。インド系のオフショア開発を手掛けている会社の中でも利益率は圧倒的に高い。社内はドキュメント、メールなど英語でのコミュニケーションが中心。本国のエンジニア向けに日本語教育なども充実させている。「リーダーにふさわしいトップ企業」等、各誌のランキングにでも多数上位でランクインしている。","1998","","","180","神奈川県","横浜市みなとみらい2-2-1-1　ランドマークタワー911A","語学力を活かしてグローバル案件を手掛けられ、待遇面も魅力的です。他の同業と比較しても上目のポストが空いている。","入江","2010/06/16 15:12:52"
