"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日","HP用職種名(EM使用欄)"  ,"アピールしたいKW1(単語)" ,"アピールしたいKW2(単語)" ,"アピールしたいKW3(単語)" ,"アピールしたいKW4(単語)" ,"アピールしたいKW5(単語)" 
"1026727","1","1","ベンチャー","","1","","","","08","04","営業","企画営業","3","0","経営企画・事業企画","","08","06","営業","海外営業","株式会社グッドパッチ","海外向け事業開発担当／法人向けセールス＆マーケティング","自社開発のデザインツール「Prott（※）」の海外法人向けセールス活動及び事業開発をお任せします。対象となるエリアは、アメリカ、ドイツ、イタリア、フランス、韓国、台湾等。いずれか、もしくは複数エリアを担当いただき、同社のツールのエンタープライズ契約数をアップさせるためのリサーチ、仕掛け創り、マーケティング、営業活動等。※全世界100か国で約4万人が利用するモバイルアプリ・サイト開発の為のプロトタイピングツールのスタンダード。http://memo.goodpatch.co/2014/10/prott-2/","WEB業界での法人向け営業経験3年以上ある方歓迎。アメリカ、ドイツ、イタリア、フランス、韓国、台湾のいずれかの国のインターネットサービス市場に土地勘がある方。インターネットマーケティング、デザイン等の知識ある方も歓迎。ベンチャースピリッツ、新しいモノ・サービスへの感度高い方。","自社サービス、ツールの営業経験ある方尚可。","ビジネスレベル","","新しいモノ・サービスへの感度高い方。","自社サービス、ツールの営業経験","東京都","渋谷区","","","不問","27","35","450","650","増員","1005620","インターネット","UI（ユーザーインターフェース）の設計・デザイン、プロトタイピングツール「Prott」の開発、運営を展開する東京とベルリンに拠点を持つグローバルなデザイン会社。日本と世界を“Good”に繋ぐ（“Patch”）。","UIデザインを中心としたクライアントワークを中心に、自社プロダクト（※）の企画、も行っています。※プロトタイピングツール「Prott」：Android WearプロジェクトなどProttは、現在世界121カ国で使われているプロトタイピングツールです。プロトタイピング文化を日本の開発現場に広めることで、日本のプロダクトが世界レベルでよりユーザーに求められる素晴らしいプロダクトへとなることを一つの目標にする。<BR>また、そのカルチャーにも特徴がある。朝礼+終礼を実施し、メリハリの利いた環境で20時にはオフィスから人が消える珍しいスタートアップ。基本的に掛け持ちをしない1人1プロジェクトの原則。1人1プロジェクト制を原則にすることで、集中してプロダクトに向き合う仕組みを構築。効率的に業務に取り組み、高いデザインクオリティを生み出せる働き方を実践している。同社で働くのは、「新しい技術が好き」、「Webが好き」、「新しいサービスを見つけたらとりあえず登録」という情報感度の高いメンバーばかり。MEMOPATCHというブログは、最先端情報を発信しているサイトとして注目されている。","2011","9","5500","65","東京都","渋谷区鶯谷町3-3　サウスゲート渋谷ビル3階","全世界100か国で約4万人が利用するモバイルアプリ・サイト開発の為のプロトタイピングツールのスタンダードを創る先進的なベンチャー企業です。大手VCからの調達も完了。将来的にIPOを見据えて人員強化に取り組んでいます。","松尾","2015/10/13 11:25:15","事業開発（海外向け）/グローバルデザインベンチャー","UIデザイン","グローバル","事業企画","海外営業","グローバルデザイン"
"1026729","1","1","ベンチャー","","1","","","","11","00","WEB・モバイル関連","","10","01","ITエンジニア","プロジェクトマネージャー・リーダー","11","00","WEB・モバイル関連","","株式会社グッドパッチ","プロジェクトマネージャー","主に大手Web企業の新規事業案件を引き受けることが多く、市場調査、コンセプト立案、要件定義フェーズからコンサルティングに入り、実装、運用フェーズまでコミットする案件のPMをお任せします。1人1案件の原則にのっとり、企画・コンセプト策定の段階からクライアントと一つのチームとなり、UI設計・デザイン、ユーザーテストといった検証、更には実装までを一気通貫して行います。※主な取引先：株式会社リクルートホールディングス、株式会社ディー・エヌ・エー、ソフトバンク株式会社、株式会社　日本経済新聞社、株式会社Gunosy、株式会社ビズリーチなど多数。","WEB業界にてプロジェクトマネージャー経験3年以上ある方。インターネットマーケティング、デザイン等の知識ある方も歓迎。ベンチャースピリッツ、新しいモノ・サービスへの感度高い方。","新規事業プロジェクトマネージメント経験者、マーケティングリサーチ、アナリスト経験者歓迎。","ベーシックレベル","","新しいモノ・サービスへの感度高い方。","PM経験","東京都","渋谷区","","","不問","27","40","500","750","増員","1005620","インターネット","UI（ユーザーインターフェース）の設計・デザイン、プロトタイピングツール「Prott」の開発、運営を展開する東京とベルリンに拠点を持つグローバルなデザイン会社。日本と世界を“Good”に繋ぐ（“Patch”）。","UIデザインを中心としたクライアントワークを中心に、自社プロダクト（※）の企画、も行っています。※プロトタイピングツール「Prott」：Android WearプロジェクトなどProttは、現在世界121カ国で使われているプロトタイピングツールです。プロトタイピング文化を日本の開発現場に広めることで、日本のプロダクトが世界レベルでよりユーザーに求められる素晴らしいプロダクトへとなることを一つの目標にする。<BR>また、そのカルチャーにも特徴がある。朝礼+終礼を実施し、メリハリの利いた環境で20時にはオフィスから人が消える珍しいスタートアップ。基本的に掛け持ちをしない1人1プロジェクトの原則。1人1プロジェクト制を原則にすることで、集中してプロダクトに向き合う仕組みを構築。効率的に業務に取り組み、高いデザインクオリティを生み出せる働き方を実践している。同社で働くのは、「新しい技術が好き」、「Webが好き」、「新しいサービスを見つけたらとりあえず登録」という情報感度の高いメンバーばかり。MEMOPATCHというブログは、最先端情報を発信しているサイトとして注目されている。","2011","9","5500","65","東京都","渋谷区鶯谷町3-3　サウスゲート渋谷ビル3階","大手Web企業の新規事業案件を引き受けることが多く、市場調査、コンセプト立案、要件定義フェーズからコンサルティングに入り、実装、運用フェーズまでコミットする案件のPMをお任せする重要なポジションです。大手VCからの調達も完了。将来的にIPOを見据えて人員強化に取り組んでいます。","松尾","2015/10/13 11:25:14","プロジェクトマネージャー/グローバルデザインベンチャー","UIデザイン","e・ビジネスプランナー","自己裁量","プロジェクトマネージャー","ベンチャー"
"1026735","1","1","ベンチャー","","1","","","","11","00","WEB・モバイル関連","","10","01","ITエンジニア","プロジェクトマネージャー・リーダー","11","00","WEB・モバイル関連","","株式会社グッドパッチ","コンサルタント","主に大手Web企業の新規事業案件を引き受けることが多く、市場調査、コンセプト立案、要件定義フェーズからコンサルティングに入り、実装、運用フェーズまでコミットする案件をお任せします。1人1案件の原則にのっとり、PM、デザイナー、エンジニアにてチームを組み、企画・コンセプト策定の段階からクライアントと一つのチームとなり、UI設計・デザイン、ユーザーテストといった検証、更には実装までを一気通貫して行います。※主な取引先：株式会社リクルートホールディングス、株式会社ディー・エヌ・エー、ソフトバンク株式会社、株式会社　日本経済新聞社、株式会社Gunosy、株式会社ビズリーチなど多数。","WEB業界にてコンサルティング経験3年以上ある方。インターネットマーケティング、デザイン等の知識ある方も歓迎。マーケティングリサーチ、アナリスト経験者歓。ベンチャースピリッツ、新しいモノ・サービスへの感度高い方。","新規事業プロジェクトマネージメント経験者、マーケティングリサーチ、アナリスト経験者歓迎。","ベーシックレベル","","新しいモノ・サービスへの感度高い方。","WEBコンサルタント経験","東京都","渋谷区","","","不問","27","40","500","750","増員","1005620","インターネット","UI（ユーザーインターフェース）の設計・デザイン、プロトタイピングツール「Prott」の開発、運営を展開する東京とベルリンに拠点を持つグローバルなデザイン会社。日本と世界を“Good”に繋ぐ（“Patch”）。","UIデザインを中心としたクライアントワークを中心に、自社プロダクト（※）の企画、も行っています。※プロトタイピングツール「Prott」：Android WearプロジェクトなどProttは、現在世界121カ国で使われているプロトタイピングツールです。プロトタイピング文化を日本の開発現場に広めることで、日本のプロダクトが世界レベルでよりユーザーに求められる素晴らしいプロダクトへとなることを一つの目標にする。<BR>また、そのカルチャーにも特徴がある。朝礼+終礼を実施し、メリハリの利いた環境で20時にはオフィスから人が消える珍しいスタートアップ。基本的に掛け持ちをしない1人1プロジェクトの原則。1人1プロジェクト制を原則にすることで、集中してプロダクトに向き合う仕組みを構築。効率的に業務に取り組み、高いデザインクオリティを生み出せる働き方を実践している。同社で働くのは、「新しい技術が好き」、「Webが好き」、「新しいサービスを見つけたらとりあえず登録」という情報感度の高いメンバーばかり。MEMOPATCHというブログは、最先端情報を発信しているサイトとして注目されている。","2011","9","5500","65","東京都","渋谷区鶯谷町3-3　サウスゲート渋谷ビル3階","大手VCからの調達も完了。将来的にIPOを見据えて人員強化に取り組んでいます。","松尾","2015/10/13 11:25:13","webコンサルタント/グローバルデザインベンチャー","UIデザイン","WEBマーケティング","Webデザイン","グローバルデザイン","ベンチャー"
