"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"1024268","1","1","","","","非公開","","","1","0","トップマネジメント","","02","06","ビジネスコンサルタント","その他","02","06","ビジネスコンサルタント","その他","フォースバレー・コンシェルジュ株式会社","拠点責任者(Asia/Europe)","アジア地域(国は不明)、もしくは、ヨーロッパ(イギリス)の拠点責任者になっていただきます。今後は、3-5ヶ国での事業拡大を予定しており、その第一ステップとなる、大変重要、且つやりがいのあるポジションです。拠点はの立ち上げは、1名、もしくは2名で行っていただきます。<主な業務>◆海外拠点の月次、年次計画の策定および本社への報告◆海外における市場調査◆現地従業員の募集、選考◆現地パートナーの選定、交渉◆現地でのプロモーション・セミナーの運営","◆ビジネスレベル以上の英語力◆パソコン操作（特にMicrosoft Office）を支障なく行えること","◆海外勤務経験があれば尚可","ビジネスレベル","","◆絶対に成功するというハングリー精神を持ってる方◆一拠点の責任者として、経営者の立場で考えることができる方","◆海外勤務経験","東京都","千代田区","","","大卒以上","25","35","600","700","アジアを中心に、世界に事業を展開していくため","1005252","人材紹介・派遣","■人材コンサルティング・採用支援事業■大学向けコンサルティング・留学推進事業■グローバル推進事業","<事業内容詳細>■人材コンサルティング・採用支援事業：本格的なグローバル化が求められる企業の人材力向上の為、高度人材を採用する為の現地調査→戦略策定→採用支援→定着支援まで一気通貫したコンサルティングを提供します。数十ヵ国の細かな採用ネットワークやノウハウを軸に、貴社のグローバル化における各種ご要望に合わせたサービスを提供。■大学向けコンサルティング・留学推進事業：大学の国際化（世界ランキング向上）、グローバル人材獲得に関する総合コンサルティングサービスの提供や、海外学生・教員・研究者の獲得支援、日本人学生の送り出し支援、大学の海外広報およびプロモーション代行をいたします。■グローバル推進事業：大学教授から、パイロット、寿司職人、スポーツ選手まで、あらゆるプロフェッショナルがグローバルに活躍するプラットフォームを創造しています。また、翻訳・通訳、海外／外国人リサーチ、インバウンドコンサルティングなど、グローバル化に関わる各種事業を展開しています。<BR><BR><BR>","2007","11","4800","50","東京都","千代田区麹町5-3　第七秋山ビルディング6F","現在、国内・海外拠点合わせて約50名の社員が在籍しておりますが、4 割は外国籍といったグローバルな環境です。今後も積極的に海外拠点を増やしていくため、新しい事にチャレンジし続けることの出来る環境です。","船橋","2015/01/28 10:25:53"
"1023623","1","1","","","","非公開","","","11","00","WEB・モバイル関連","","11","00","WEB・モバイル関連","","11","0","WEB・モバイル関連","","フォースバレー・コンシェルジュ株式会社","Webマーケティング兼プロデューサー","同社は、世界100ヶ国以上で展開しており、ますますのグローバル化に伴いWebまわりを全面リニューアルする予定。そのリニューアルに伴い、Webマーケティング、Webプロデューサー経験者を急募。同社の世界に配信しているWebをゼロベースで作り上げ、より効果的なHPを作成、運営いただきます。","■スタンダードレベル以上の英語力■webマーケティング及びwebプロデューサーを両軸でコントロール出来る方","ビジネスレベル以上の英語力","スタンダードレベル","650","■野心的な目標を掲げ、猛烈な勢いでそれを追求する方<BR>■必ず成功するというハングリー精神をお持ちの方<BR>","■海外事業向けのサイトを構築、運営経験のある方■ソーシャルネットワーク系のwebサイトを構築、運営経験のある方","東京都","千代田区","","","大卒以上","25","39","600","800","事業拡大による増員","1005252","人材紹介・派遣","■人材コンサルティング・採用支援事業■大学向けコンサルティング・留学推進事業■グローバル推進事業","<事業内容詳細>■人材コンサルティング・採用支援事業：本格的なグローバル化が求められる企業の人材力向上の為、高度人材を採用する為の現地調査→戦略策定→採用支援→定着支援まで一気通貫したコンサルティングを提供します。数十ヵ国の細かな採用ネットワークやノウハウを軸に、貴社のグローバル化における各種ご要望に合わせたサービスを提供。■大学向けコンサルティング・留学推進事業：大学の国際化（世界ランキング向上）、グローバル人材獲得に関する総合コンサルティングサービスの提供や、海外学生・教員・研究者の獲得支援、日本人学生の送り出し支援、大学の海外広報およびプロモーション代行をいたします。■グローバル推進事業：大学教授から、パイロット、寿司職人、スポーツ選手まで、あらゆるプロフェッショナルがグローバルに活躍するプラットフォームを創造しています。また、翻訳・通訳、海外／外国人リサーチ、インバウンドコンサルティングなど、グローバル化に関わる各種事業を展開しています。<BR><BR><BR>","2007","11","4800","50","東京都","千代田区麹町5-3　第七秋山ビルディング6F","現在、国内・海外拠点合わせて約50名の社員が在籍しておりますが、4 割は外国籍といったグローバルな環境です。今後も積極的に海外拠点を増やしていくため、実力が伴い、希望すれば1 年目からの海外赴任が可能です。日本とグローバル、グローバルとグローバルを結びつける事業に本気で取り組みたい方をお待ちしています。","船橋","2015/01/28 10:25:52"
"1024274","1","1","","","","非公開","","","02","06","ビジネスコンサルタント","その他","08","04","営業","企画営業","","","","","フォースバレー・コンシェルジュ株式会社","キャリアコンサル営業","国内、海外にある日本企業において、外国人社員の派遣業務を行っていただきます。<イメージ>・・・中国企業に勤めている中国人の方を、日本企業へ派遣する。等。【補足】既存のサービスではない、新たなマーケットを切り拓くための提案型コンサルティングセールスが中心になります。既に顕在化しているニーズを解決するだけはなく、潜在的なニーズまでを自ら掘り起し、日本企業が「真」のグローバル化を実現するための幅広い支援を行う仕事です。","◆卓越した論理的思考能力","◆学歴・業界経験・営業経験はあれば尚可◆ビジネス英語◆","スタンダードレベル","","「世界一愉快でイノベーティブな会社を目指す」というビジョンに共感頂ける方","◆営業経験◆コンサル経験","東京都","千代田区","","","大卒以上","25","35","500","700","事業拡大に伴う増員","1005252","人材紹介・派遣","■人材コンサルティング・採用支援事業■大学向けコンサルティング・留学推進事業■グローバル推進事業","<事業内容詳細>■人材コンサルティング・採用支援事業：本格的なグローバル化が求められる企業の人材力向上の為、高度人材を採用する為の現地調査→戦略策定→採用支援→定着支援まで一気通貫したコンサルティングを提供します。数十ヵ国の細かな採用ネットワークやノウハウを軸に、貴社のグローバル化における各種ご要望に合わせたサービスを提供。■大学向けコンサルティング・留学推進事業：大学の国際化（世界ランキング向上）、グローバル人材獲得に関する総合コンサルティングサービスの提供や、海外学生・教員・研究者の獲得支援、日本人学生の送り出し支援、大学の海外広報およびプロモーション代行をいたします。■グローバル推進事業：大学教授から、パイロット、寿司職人、スポーツ選手まで、あらゆるプロフェッショナルがグローバルに活躍するプラットフォームを創造しています。また、翻訳・通訳、海外／外国人リサーチ、インバウンドコンサルティングなど、グローバル化に関わる各種事業を展開しています。<BR><BR><BR>","2007","11","4800","50","東京都","千代田区麹町5-3　第七秋山ビルディング6F","現在、国内・海外拠点合わせて約50名の社員が在籍しておりますが、4 割は外国籍といったグローバルな環境です。今後も積極的に海外拠点を増やしていくため、新しい事にチャレンジし続けることの出来る環境です。","船橋","2015/01/28 10:25:51"
