"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"1014952","1","0","","","","上場","","","07","03","その他企画・事務・管理","企画系","3","0","経営企画・事業企画","","09","05","ITコンサルタント","その他","株式会社ベネッセコーポレーション","システム導入の企画立案～実行のシステムアーキテクト・プロジェ","科学的経営、マーケティング活動の効率化、商品サービスの価値向上を目指し、企業内外におけるさまざまな情報を活用した情報分析サイクルの確立と、全社最適システム構想の立案・具現化、さらには分析を軸とした新業務デザインとその運営をリードする、ベネッセデジタル化をリードできるリーダーを求めています。","□「システムアーキテクト」、及びスキルのある「システムアーキテクト」と一緒にプロジェクトを進行した実績がある、データベース知識が豊富な「プロジェクトマネージャー」経験者（8～10年以上の経験豊富な方）。※システム領域：コンシューマ向けWEB系システム、オープン系アーキテクチャでの情報系システム、DWH・BI構築","□プロジェクトマネジメント資格□情報処理技術者系資格（ITストラテジスト、システムアーキテクト、プロジェクトマネージャー等）□ITコーディネータ資格 □Sierでのシステム構築またはITコンサルティングファームにおける業務経験がある方□企業の情報システム・企画部門においてIT戦略立案、ITグランドデザイン策定、IT改革などIT上流領域での経験がある方□ITアーキテクチャ策定経験がある方□アプリケーション基盤の設計・構築経験がある方(設計・開発の標準化業務経験者）","------","","□幼児～高校生の教育に関心・意欲が高く、顧客の課題解決や顧客の価値創造を通して「役に立つ」ことに喜びを感じられる方。<BR>□弊社の理念・教育や子育ての方向性に共感できる、誠実な方。<BR>□コミュニケーション能力の高い方。<BR>□最新テクノロジーへの理解（スマートグリッド、ビッグデータ、クラウド等）が深い方。","□「システムアーキテクト」、及びスキルのある「システムアーキテクト」と一緒にプロジェクトを進行した実績がある、データベース知識が豊富な「プロジェクトマネージャー」経験者（8～10年以上の経験豊富な方）。<BR>※システム領域：コンシューマ向けWEB系システム、オープン系アーキテクチャでの情報系システム、DWH・BI構築<BR>","東京都","多摩市","","","大卒以上","30","40","760","840","","210285","情報サービス","よりよい社会の実現のために、ひとり一人の「よく生きる」を支援・実現するために、次の４つの事業領域に取り組んでいます。１）教育事業２）生活事業３）シニア・介護事業４）語学・グローバル人材教育事業","","1955","1","300000","3137","東京都","多摩市落合1-34","","越山","2012/09/21 14:45:09"
"1012563","1","0","","","","上場","","","06","00","経理・財務・会計","","06","00","経理・財務・会計","","","","","","株式会社ベネッセコーポレーション","財務担当／海外担当","・グループ会社対応、子会社貸付（特に在外子会社）・海外市場調査、企業調査業務・国内外のＭ＆Ａに関する調査、企画、Execution・クロスボーダー案件の調査、検討、Due Diligence・資金繰り、資産管理業務・運用業務、リスク管理業務・出納業務、決算対応業務","・金融機関、事業会社の経理・財務部などで英語を使った業務を行っていた人・企業財務、M&Aに強い興味、関心があること","","ビジネスレベル","","コミュニケーション力が高い方、プロアクティブな方","国内外での子会社管理、Ｍ＆Ａ経験","東京都","神保町","","","大卒以上","28","34","470","630","増員募集","210285","情報サービス","よりよい社会の実現のために、ひとり一人の「よく生きる」を支援・実現するために、次の４つの事業領域に取り組んでいます。１）教育事業２）生活事業３）シニア・介護事業４）語学・グローバル人材教育事業","","1955","1","300000","3137","東京都","多摩市落合1-34","事業会社でクロスボーダー案件に携われます","越山","2012/09/21 14:45:08"
"1015819","1","0","","","","上場","","","04","02","マーケティング・広報・IR","広報・IR","","","","","","","","","株式会社ベネッセコーポレーション","IR担当","①投資家対応・機関投資家向けミーティングを年３００件以上実施しています。（1/3以上が外国人投資家です。）・海外IRを年5回程度実施しています。・個人投資家向けのイベントを実施しています。これらミーティングやイベントの運営はもとより、英語での議事録やデータ分析なども担当していただきます。②制作物の作成を行います。・アニュアルレポート（日経アニュアルリポート・アウォードに１０年連続で入賞以上）の作成・IR Webサイトの作成・株主通信の作成・決算説明会（中間・期末）の資料作成・英文の決算短信の作成・その他　事業報告書、会社案内ビデオ等","経営上の数値を読み、投資家の方向けの説明や資料作り（日本語版、英語版）を行っていきます。そのための経理知識やマーケットを分析していく知識と語学力を求めます。・ＩＲ担当経験2年以上。・株式総会運営、資料作成経験。・財務・金融マーケットと会計の知識。・英語力","ＷＥＢサイトや紙媒体の製作経験","ビジネスレベル","","教育や介護等社会的課題である事業分野に高い関心と責任感があり、仕事を通じて誰かの「役に立つ」ことに喜びを感じられる方。","上場会社でのＩＲ実務経験","東京都","多摩","","","大卒以上","28","34","550","750","増員募集","210285","情報サービス","よりよい社会の実現のために、ひとり一人の「よく生きる」を支援・実現するために、次の４つの事業領域に取り組んでいます。１）教育事業２）生活事業３）シニア・介護事業４）語学・グローバル人材教育事業","","1955","1","300000","3137","東京都","多摩市落合1-34","社会性の高い業務です。","越山","2012/09/21 14:45:08"
