"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"1010139","1","0","","","","上場","","","10","06","ITエンジニア","社内システム関連","10","06","ITエンジニア","社内システム関連","10","01","ITエンジニア","プロジェクトマネージャー・リーダー","株式会社ベネッセコーポレーション","自社サービス基盤開発の中堅リーダー","当社のコアビジネスである、サービスのデジタル化、システム基盤の構築をリーディングする中堅社員を募集します。現在同サービスの基盤は全国でも稀有なシステムであり、デジタル化、インターネットの利用により、より個別性の高く学習に効果のあるリッチなコンテンツの提供を実現するとともに、全国各地の進研ゼミの会員と赤ペン先生とを添削問題で結ぶ人的付加価値を提供する基盤でもあります。そのため、WEBやデジタルコンテンツ、また大規模業務・物流システムなど非常に広範なシステム知識に加え、ユーザー部門として業務運用の構築や、制作・編集業務といった業務知識の理解、スキルが必要とされます。","□　プロジェクトの推進者としてのプロジェクトマネジメント力および主体者として牽引力□　WEBやRIA、デジタルコンテンツ等に関するシステム開発、制作の知識□　ユーザー部門として部内外の関係各署及び社内開発部署、社外の開発ベンダー、業務パートナーとの交渉、調整力□　WEBシステムまたは業務システムなどの開発経験（リーダーならなお可）□　コミュニケーション力、問題解決力","□　RIA、CMSなどに関するシステム開発の経験のある方□　開発投資額1億円以上のプロジェクトのリーダー、マネジメント経験者","","","・　システム開発のみに留まらない、その先のサービスや商品の顧客価値の提供に喜びを感じる方<BR>・　チームで仕事し、チームでの成果を求める方<BR>・　粘り強く、困難な課題に対しても臆することなく挑戦するチャレンジマインドのある方","社内SEかSI、コンサルとしてシステム開発のPMを要件定義から行ってきた経験","東京都","多摩市","","","大卒以上","25","35","500","800","増員募集","210285","情報サービス","よりよい社会の実現のために、ひとり一人の「よく生きる」を支援・実現するために、次の４つの事業領域に取り組んでいます。１）教育事業２）生活事業３）シニア・介護事業４）語学・グローバル人材教育事業","平均残業時間は月間約４０時間ぐらいです。東京本部ですと、９時半に出社して毎日７時半に退社するというような計算になります。夜９時以降社内に残る時は、上司の許可が必要です。とはいえ、部門によっては編集の締切り間際や模試やテスト時期などでは、土日出勤・深夜までの残業・まれですが徹夜の勤務もないわけではありません。教育制度は、マーケティングやアカウンティング、コミュニケーションスキルなどの受講が義務付けられていますし、社外のビジネス講座に出るときも年間約１０万円の補助が出ます。","1955","1","300000","3137","東京都","多摩市落合1-34","事業会社の社内SEとして大規模案件に関わることができます。","越山","2010/07/01 11:37:52"
"1010126","1","0","","","","上場","","","07","03","その他企画・事務・管理","企画系","04","01","マーケティング・広報・IR","マーケティング","04","01","マーケティング・広報・IR","マーケティング","株式会社ベネッセコーポレーション","事業戦略担当者","■マーケティング　・首都圏における中学校・高校及び中学生・高校生対象の事業拡大に向けた市場調査・マーケティング　・BtoB、BtoCの領域における事業企画立案及び推進■事業戦略立案・推進　・マーケティングに基づいた中高市場における事業戦略立案及び事業化に向けたディレクション機能　・事業部やユニットの事業効率化のための組織連携推進　・コンプライアンス推進","■必要な情報を適切に収集し、様々な情報に基づいてマーケットを客観的に分析する力■事業拡大に向けた戦略を組み立て、実現プロセスを組み立てる企画立案力■自社の強みと弱みを踏まえながら、効率的な推進体制を作りあげる計画組織力■連携を推進するためのコミュニケーション力","■首都圏における中学校・高校の状況についての情報把握■大学・大学入試に関する知識■プロジェクトマネジメント力■転職回数1回までの方","","","ロジカルシンキング、関係部署とのコミュニケーション力","大手企業でのマーケティング実務経験","東京都","多摩市","","","大卒以上","25","32","450","600","増員募集","210285","情報サービス","よりよい社会の実現のために、ひとり一人の「よく生きる」を支援・実現するために、次の４つの事業領域に取り組んでいます。１）教育事業２）生活事業３）シニア・介護事業４）語学・グローバル人材教育事業","平均残業時間は月間約４０時間ぐらいです。東京本部ですと、９時半に出社して毎日７時半に退社するというような計算になります。夜９時以降社内に残る時は、上司の許可が必要です。とはいえ、部門によっては編集の締切り間際や模試やテスト時期などでは、土日出勤・深夜までの残業・まれですが徹夜の勤務もないわけではありません。教育制度は、マーケティングやアカウンティング、コミュニケーションスキルなどの受講が義務付けられていますし、社外のビジネス講座に出るときも年間約１０万円の補助が出ます。","1955","1","300000","3137","東京都","多摩市落合1-34","マーケティング実務経験を優遇します。","越山","2010/07/01 11:37:51"
"1010191","1","0","","","","上場","","","07","03","その他企画・事務・管理","企画系","","","","","","","","","株式会社ベネッセコーポレーション","顧客対応マネジメント","お客様である全国の高等学校の先生がたの電話窓口担当として、「お客様サービスセンター」（電話窓口）と連携し、お客様や電話窓口担当からでてきた改善要件に応じ、受注関連・問い合わせなどに関する業務運用の見直しや、運用フロー設計を行います。また、業務を行うにあたり必要なシステム構築への提案も行います。","□調整力、コミュニケーション力・幅広く意見を聞いて調整する力。・たくさんの人を動かす、潤滑油的な存在になるためのコミュニケーション力。・複数名のチーム（アルバイト含む）リーダーとしての組織運営の経験。□企画力・現場を把握し、企画を組み立てる力を持っている。・エクセルやワード・パワーポイントのパソコンスキルがあること。（一般的な資料の作成が自立して行えるレベル）","営業経験","","","様々な場面で、調整することが多いため、バランス感覚に優れている方。<BR>状況をみながら自分で判断して、物事を自律的に進めていける方。","社内業務改善の実務経験","岡山県","岡山市","","","大卒以上","26","35","400","600","増員募集。10月に入社できる方歓迎。","210285","情報サービス","よりよい社会の実現のために、ひとり一人の「よく生きる」を支援・実現するために、次の４つの事業領域に取り組んでいます。１）教育事業２）生活事業３）シニア・介護事業４）語学・グローバル人材教育事業","平均残業時間は月間約４０時間ぐらいです。東京本部ですと、９時半に出社して毎日７時半に退社するというような計算になります。夜９時以降社内に残る時は、上司の許可が必要です。とはいえ、部門によっては編集の締切り間際や模試やテスト時期などでは、土日出勤・深夜までの残業・まれですが徹夜の勤務もないわけではありません。教育制度は、マーケティングやアカウンティング、コミュニケーションスキルなどの受講が義務付けられていますし、社外のビジネス講座に出るときも年間約１０万円の補助が出ます。","1955","1","300000","3137","東京都","多摩市落合1-34","コミュニケーション力を活かした業務です。","越山","2010/07/01 11:37:50"
"1010190","1","0","","","","上場","","","07","03","その他企画・事務・管理","企画系","16","00","その他","","","","","","株式会社ベネッセコーポレーション","採点組織マネジメント","仙台・東京・名古屋・大阪・岡山・福岡の拠点で学校向け模擬試験の採点をミスなく期限までに行い、最終的には高校生の進路選択に役立ててもらうことを目的とした仕事です。採点会場での大勢の採点者の組織運営、採点スタッフ（大学生）の募集採用から研修育成、または採点の運営管理や品質管理までも行う業務です。","□コミュニケーション力・300人ぐらいの大学生アルバイト組織を動かしていったり、関係各所との調整・交渉など行うためのコミュニケーション力が必要です。□業務管理能力・採点には締切があります。期限までに終了させるため状況を見極め、判断・指示を行ないます。","□リーダーシップ力・300人ぐらいのアルバイト組織をモチベーションをあげつつ動かしていくためのリーダーシップが必要です。","","","周りをうまく巻き込みながら、目標達成できる明るく前向きな方、困難があってもへこたれず前に進んでいく方。","リーダーシップがあり、多くの人数を取りまとめてきた経験","愛知県","名古屋市","","","大卒以上","25","30","400","600","増員募集。9月1日入社できる方歓迎。","210285","情報サービス","よりよい社会の実現のために、ひとり一人の「よく生きる」を支援・実現するために、次の４つの事業領域に取り組んでいます。１）教育事業２）生活事業３）シニア・介護事業４）語学・グローバル人材教育事業","平均残業時間は月間約４０時間ぐらいです。東京本部ですと、９時半に出社して毎日７時半に退社するというような計算になります。夜９時以降社内に残る時は、上司の許可が必要です。とはいえ、部門によっては編集の締切り間際や模試やテスト時期などでは、土日出勤・深夜までの残業・まれですが徹夜の勤務もないわけではありません。教育制度は、マーケティングやアカウンティング、コミュニケーションスキルなどの受講が義務付けられていますし、社外のビジネス講座に出るときも年間約１０万円の補助が出ます。","1955","1","300000","3137","東京都","多摩市落合1-34","コミュニケーション力、リーダーシップ力のある方歓迎です。","越山","2010/07/01 11:37:49"
"1010189","1","0","","","","上場","","","16","00","その他","","07","03","その他企画・事務・管理","企画系","07","03","その他企画・事務・管理","企画系","株式会社ベネッセコーポレーション","高校生対象の教科学力試験や教材の企画編集","高等学校に提供しているアセスメントの進研模試・スタディーサポート・進路マップ、公立・私立中高一貫中学向けに提供しているアセスメントの学力推移調査など、教科学力に関するアセスメントテストや関連教材の企画制作・編集を担当します。問題作成に携わる社内外のスタッフの方々と、問題検討・吟味に関する打ち合わせをしながら、原稿整理・チェック・校正、採点基準作成業務などを直接行ったり、外部の会社に編集委託している業務の品質管理やスケジュール調整などのマネジメント業務全般を行います。","●多様なタイプ・立場の方とコミュニケーションをとることが得意な方、また柔軟な考えや臨機応変な態度で社内外と交渉できる方●文系教科（特に国語、地理歴史、公民のいずれか）の高校レベルの学習内容が理解できる教科力があること●細かい作業は正確さが求められるため、事務処理能力に自信がある方●PC操作も一定水準でできる方","【尚可】教材や新聞、雑誌などの編集経験が２～４年以上ある方歓迎","","","□教育に関心があり、全国の高校生の進路選択、学力向上に貢献する仕事に生きがいを感じられる方<BR>□仕事を通じて「役に立つ」ことに喜びを感じられる方<BR>□ある程度厳しい反応があることについて覚悟したうえで、前向きに取り組める方","教材や新聞、雑誌などの編集経験が２～４年以上ある方","岡山県","岡山市","","","大卒以上","24","31","500","600","増員募集。9月1日入社可能な方歓迎。","210285","情報サービス","よりよい社会の実現のために、ひとり一人の「よく生きる」を支援・実現するために、次の４つの事業領域に取り組んでいます。１）教育事業２）生活事業３）シニア・介護事業４）語学・グローバル人材教育事業","平均残業時間は月間約４０時間ぐらいです。東京本部ですと、９時半に出社して毎日７時半に退社するというような計算になります。夜９時以降社内に残る時は、上司の許可が必要です。とはいえ、部門によっては編集の締切り間際や模試やテスト時期などでは、土日出勤・深夜までの残業・まれですが徹夜の勤務もないわけではありません。教育制度は、マーケティングやアカウンティング、コミュニケーションスキルなどの受講が義務付けられていますし、社外のビジネス講座に出るときも年間約１０万円の補助が出ます。","1955","1","300000","3137","東京都","多摩市落合1-34","全国何十万人もの高校生の進路選択、学力向上に活用されるという責任とやりがいが感じられる醍醐味のある仕事です。","越山","2010/07/01 11:37:46"
"1008617","1","0","","","","上場","","","06","00","経理・財務・会計","","03","00","経営企画・事業企画","","06","00","経理・財務・会計","","株式会社ベネッセコーポレーション","経理・業績管理担当者","グループ全体の経営管理機能を担っています。具体的には、計画策定段階において、中期経営計画策定に向けたグループ全体のゴールの調整や単年度事業計画及び予算編成方針の策定と予算編成における着地点の調整を行います。また、期中の状況確認では、グループ全体の月次及び四半期における業績状況の分析と経営層への報告を行い、外部開示における業績予想の策定をすることが主な業務になります。加えて、スポット対応として、Ｍ＆Ａ、事業譲渡等における経営管理体制確立に向けたフォローを適宜対応しています。","決算処理までの財務会計の知識、経験がある。簿記2級以上。エクセル、ワード、パワーポイントが日常的に使える。（エクセルは表計算・グラフの作成、パワーポイントは報告用資料の作成で日常的に使います。）。事業会社での実務経験３年以上。","税務関連知識・経験、または国際会計知識・経験があれば望ましい。会計士やコンサルタントのみの経験者は対象外と考えております。","スタンダードレベル","","事業会社でキャリアを積んでいきたい方や経営管理の指向のある方。経営視点のある方。","事業会社での経営管理部門経験。経理決算実務経験。","東京都","多摩市","","","大卒以上","27","32","500","700","増員です。","210285","情報サービス","よりよい社会の実現のために、ひとり一人の「よく生きる」を支援・実現するために、次の４つの事業領域に取り組んでいます。１）教育事業２）生活事業３）シニア・介護事業４）語学・グローバル人材教育事業","平均残業時間は月間約４０時間ぐらいです。東京本部ですと、９時半に出社して毎日７時半に退社するというような計算になります。夜９時以降社内に残る時は、上司の許可が必要です。とはいえ、部門によっては編集の締切り間際や模試やテスト時期などでは、土日出勤・深夜までの残業・まれですが徹夜の勤務もないわけではありません。教育制度は、マーケティングやアカウンティング、コミュニケーションスキルなどの受講が義務付けられていますし、社外のビジネス講座に出るときも年間約１０万円の補助が出ます。","1955","1","300000","3137","東京都","多摩市落合1-34","このポジションでの経験は、その後のキャリアの選択肢を広げることが出来ます。","越山","2010/07/01 11:37:45"
"1006568","1","0","ハイクラス","","","上場","","","07","02","その他企画・事務・管理","法務","07","02","その他企画・事務・管理","法務","07","02","その他企画・事務・管理","法務","株式会社ベネッセコーポレーション","法務","法務課における契約や紛争処理、各種法解釈を担当する社員として、中堅的な役割を期待しています。当社の法務の場合、取引のタイプは、デジタル系のシステムや教育用機器等の新商品開発、映像系商品の製作、他社との各種業務提携、知的財産権の権利確保・処理、各種商品の製造委託等、多岐に渡っています。単なる相手方提示の契約フォームのチェックや、雛形の修正といったレベルにとどまらず、新たな取引形態に対応した法務支援が求められます。","契約等の法務業務の実務経験３年以上。","国際法務の経験があれば尚可。株主総会等の会社法関連、産業財産権関連業務の経験があれば尚可。□大学卒（経験を重視しますので、学部はこだわりません。）","ベーシックレベル","","高いコミュニケーション能力","法務実務経験。","東京都","多摩市","","","大卒以上","26","35","500","850","増員です","210285","情報サービス","よりよい社会の実現のために、ひとり一人の「よく生きる」を支援・実現するために、次の４つの事業領域に取り組んでいます。１）教育事業２）生活事業３）シニア・介護事業４）語学・グローバル人材教育事業","平均残業時間は月間約４０時間ぐらいです。東京本部ですと、９時半に出社して毎日７時半に退社するというような計算になります。夜９時以降社内に残る時は、上司の許可が必要です。とはいえ、部門によっては編集の締切り間際や模試やテスト時期などでは、土日出勤・深夜までの残業・まれですが徹夜の勤務もないわけではありません。教育制度は、マーケティングやアカウンティング、コミュニケーションスキルなどの受講が義務付けられていますし、社外のビジネス講座に出るときも年間約１０万円の補助が出ます。","1955","1","300000","3137","東京都","多摩市落合1-34","契約作成、紛争処理、法務相談、産業財産権の出願・侵害対応、株主総会・役会の運営等。コンプライアンス体制構築のための各種施策を立案・実施まで行います。","越山","2010/07/01 11:37:44"
