"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"1020443","1","1","ハイクラス/ベンチャー","","1","","","","9","4","ITコンサルタント","金融システムコンサルタント","09","05","ITコンサルタント","その他","10","01","ITエンジニア","プロジェクトマネージャー・リーダー","株式会社マネジメントソリューションズ","プロジェクトマネジメントコンサルタント（製薬業界）","プロジェクトマネジメントに関するコンサルティング業務。プロジェクト管理プロセスの導入定着化支援だけでなく事務作業支援も担当。 進捗管理、課題管理、リスク管理、プロジェクトマネージャーのミッションは膨大です。特に大規模案件では、一人の人間が完璧に行うことは困難。そのため、世の中のほとんどのプロジェクトでプロジェクトマネジメントがうまく機能せずに、結果として多くの不利益を生み出している。【具体的なミッション】プロジェクト全体会議等での議事進行支援、プロジェクトマネジメントプロセスの導入・定着化、当社プロジェクトマネジメントツール＜ProViz5＞の導入・定着化等。その他、プロジェクトの進行や工程をよりスムーズに行う為のサポートを幅広く行っていただきます。","製薬業界でのプロジェクトマネジメント・リード経験者（進捗管理・課題管理・リスク管理・変更管理・障害管理・計画立案）。ユーザー側でもサービス提供側でも可。CSV等の用語を理解していること。※CSV：　Computeｒized　System　Validation　(コンピュータ化システムバリデーション)コンピュータ化システムのライフサイクルの活動のこと。グローバルプロジェクトを経験。","大規模プロジェクト経験者（50人以上のメンバー管理経験）歓迎。","------","","コミュニケーション力があり、ベンチャーマインドがあり、会社を共に創っていきたいという思いのある方。","PMO経験、プロマネ経験。PL経験。","東京都","港区","","","大卒以上","25","38","500","1200","事業拡大に伴う増員","1001659","その他コンサルティングファーム","「プロジェクトマネジメント領域における社会のインフラになること」が同社の目指すべき企業の姿です。プロジェクトマネジメントの成熟度を向上させる上で効果を発揮します。同社ではPMOに求められる役割を以下の3つに分類しています。プロジェクトマネジメントコンサルティング（参謀型PMO）、プロジェクトコントロール（管理定着型PMO）、プロジェクトアドミニストレーション（事務局型PMO）。","円滑に順調に進むプロジェクトはまれで、プロジェクトをプロマネのみに依存するのは厳しい状況です。プロジェクトマネジメントを向上させるためにPMOは欠かすことのできない組織です。サービスラインとしてはPMO、経営コンサル、トレーニングの３つを軸としている。メインはPMOであり、PMOとしてはコンサルティング・ソフトウェア導入・チェンジマネジメントのサービスを実施している。PMOを専門にしている会社はまだ少なく、その先駆者として熱い思いをもって経営をしています。また個人と家庭と会社のバランスを大切にしているビジネスマンがいい仕事をできるという社長の思いが浸透しており、職場のファシリティ・労働環境含めて働きやすい環境・居心地のいい職場作りを真剣に考えています。主なクライアントは家電メーカー、車メーカーなどとエンドユーザーと直接取引しています（比率は9割くらい）。月1回のグループ会議、2ヶ月に1回の全社会議は必ず開催しています。社員のコミュニケーションを円滑にするために、社員一人一人にiphoneを支給。求める人物像は素直、真摯、果敢に挑戦する人。製造業のグローバル案件も増えてきています","2005","7","13100","65","東京都","港区六本木5-18-23　ＩＮＣＡビル4Ｆ","PMOの先駆者として、私たちとともにプロジェクトマネジメントの未来を切り開きませんか。","奈良","2014/06/13 18:52:07"
"1021625","1","1","ベンチャー","","1","","","","05","00","人事","","","","","","","","","","株式会社マネジメントソリューションズ","新卒採用担当","人事業務全般を（特に新卒採用）お任せいたします。現在人事業務は人事責任者1名と兼務数名で担当しておりますが、責任者の方と二人三脚で人事業務を担当いただきます。特にお願いしたいのは新卒採用・研修業務です。具体的なミッションとしては、新卒採用企画・エージェント媒体選定・大学回り・学生対応・インターン企画・書類選考・採用面接・説明会等の資料作成・説明会イベントでのプレゼンテ―ション・内定者フォローなど新卒関連業務を幅広くご担当いただきます。業務になれていったら、新卒関連業務だけでなく中途採用業務など人事業務全般をご担当いただきます。","新卒採用の実務経験必須。採用セミナーで司会をやれる方。","エージェント・媒体社での採用関連業務経験。","------","","コミュニケーション力があり、ベンチャーマインドがあり、会社を共に創っていきたいという思いのある方。","新卒採用実務経験。","東京都","港区","","","専修・専門卒以上","28","40","400","500","事業拡大に伴う増員","1001659","その他コンサルティングファーム","「プロジェクトマネジメント領域における社会のインフラになること」が同社の目指すべき企業の姿です。プロジェクトマネジメントの成熟度を向上させる上で効果を発揮します。同社ではPMOに求められる役割を以下の3つに分類しています。プロジェクトマネジメントコンサルティング（参謀型PMO）、プロジェクトコントロール（管理定着型PMO）、プロジェクトアドミニストレーション（事務局型PMO）。","円滑に順調に進むプロジェクトはまれで、プロジェクトをプロマネのみに依存するのは厳しい状況です。プロジェクトマネジメントを向上させるためにPMOは欠かすことのできない組織です。サービスラインとしてはPMO、経営コンサル、トレーニングの３つを軸としている。メインはPMOであり、PMOとしてはコンサルティング・ソフトウェア導入・チェンジマネジメントのサービスを実施している。PMOを専門にしている会社はまだ少なく、その先駆者として熱い思いをもって経営をしています。また個人と家庭と会社のバランスを大切にしているビジネスマンがいい仕事をできるという社長の思いが浸透しており、職場のファシリティ・労働環境含めて働きやすい環境・居心地のいい職場作りを真剣に考えています。主なクライアントは家電メーカー、車メーカーなどとエンドユーザーと直接取引しています（比率は9割くらい）。月1回のグループ会議、2ヶ月に1回の全社会議は必ず開催しています。社員のコミュニケーションを円滑にするために、社員一人一人にiphoneを支給。求める人物像は素直、真摯、果敢に挑戦する人。製造業のグローバル案件も増えてきています","2005","7","13100","65","東京都","港区六本木5-18-23　ＩＮＣＡビル4Ｆ","","奈良","2014/06/13 18:52:07"
"1003303","0","1","ハイクラス/ベンチャー","","1","","","","9","4","ITコンサルタント","金融システムコンサルタント","09","05","ITコンサルタント","その他","10","01","ITエンジニア","プロジェクトマネージャー・リーダー","株式会社マネジメントソリューションズ","プロジェクトマネジメントコンサルタント","プロジェクトマネジメントに関するコンサルティング業務。プロジェクト管理プロセスの導入定着化支援だけでなく事務作業支援も担当。 進捗管理、課題管理、リスク管理、プロジェクトマネージャーのミッションは膨大です。特に大規模案件では、一人の人間が完璧に行うことは困難。そのため、世の中のほとんどのプロジェクトでプロジェクトマネジメントがうまく機能せずに、結果として多くの不利益を生み出している。【具体的なミッション】プロジェクト全体会議等での議事進行支援、プロジェクトマネジメントプロセスの導入・定着化、当社プロジェクトマネジメントツール＜ProViz5＞の導入・定着化等。その他、プロジェクトの進行や工程をよりスムーズに行う為のサポートを幅広く行っていただきます。","プロジェクト管理（PMO、PM、PL)経験者（具体的には、進捗管理・課題管理・リスク管理・変更管理・障害管理・計画立案等）。マネジメント志向のある方。スクラッチ開発プロジェクト経験、パッケージ導入プロジェクト経験。","大規模プロジェクト経験者（50人以上のメンバー管理経験）。","------","","コミュニケーション力があり、ベンチャーマインドがあり、会社を共に創っていきたいという思いのある方。","PMO経験、プロマネ経験。PL経験。","東京都","港区","","","大卒以上","25","45","500","1000","事業拡大に伴う増員","1001659","その他コンサルティングファーム","「プロジェクトマネジメント領域における社会のインフラになること」が同社の目指すべき企業の姿です。プロジェクトマネジメントの成熟度を向上させる上で効果を発揮します。同社ではPMOに求められる役割を以下の3つに分類しています。プロジェクトマネジメントコンサルティング（参謀型PMO）、プロジェクトコントロール（管理定着型PMO）、プロジェクトアドミニストレーション（事務局型PMO）。","円滑に順調に進むプロジェクトはまれで、プロジェクトをプロマネのみに依存するのは厳しい状況です。プロジェクトマネジメントを向上させるためにPMOは欠かすことのできない組織です。サービスラインとしてはPMO、経営コンサル、トレーニングの３つを軸としている。メインはPMOであり、PMOとしてはコンサルティング・ソフトウェア導入・チェンジマネジメントのサービスを実施している。PMOを専門にしている会社はまだ少なく、その先駆者として熱い思いをもって経営をしています。また個人と家庭と会社のバランスを大切にしているビジネスマンがいい仕事をできるという社長の思いが浸透しており、職場のファシリティ・労働環境含めて働きやすい環境・居心地のいい職場作りを真剣に考えています。主なクライアントは家電メーカー、車メーカーなどとエンドユーザーと直接取引しています（比率は9割くらい）。月1回のグループ会議、2ヶ月に1回の全社会議は必ず開催しています。社員のコミュニケーションを円滑にするために、社員一人一人にiphoneを支給。求める人物像は素直、真摯、果敢に挑戦する人。製造業のグローバル案件も増えてきています","2005","7","13100","65","東京都","港区六本木5-18-23　ＩＮＣＡビル4Ｆ","PMOの先駆者として、私たちとともにプロジェクトマネジメントの未来を切り開きませんか。","奈良","2012/12/11 11:45:03"
