"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日","HP用職種名(EM使用欄)"  ,"アピールしたいKW1(単語)" ,"アピールしたいKW2(単語)" ,"アピールしたいKW3(単語)" ,"アピールしたいKW4(単語)" ,"アピールしたいKW5(単語)" 
"1023835","1","1","ハイクラス","","","","","","02","01","ビジネスコンサルタント","経営戦略系","02","06","ビジネスコンサルタント","その他","2","6","ビジネスコンサルタント","その他","株式会社フィールドマネージメント","コンサルタント","様々なプロジェクトにおける提案段階からプロジェクトの実施まで全てのプロセスに渡って中心的役割を担います。プロジェクトの中では、プロジェクトメンバーとのリレーションシップビルディングの中心となることはもちろん、マネジャー的なロールを行う機会もあり役割は多岐に渡ります。コンサルティング業務に加えて、自らがが経営を行うことが可能であり、新規事業を立ち上げることを会社として推奨してる⇒新規事業立ち上げの際には、(1)財務的なサポート(2)同社のネットワークを活かしたビジネスパートナー、クライアントを紹介する等、会社として全面的にバックアップをしてくれる環境である","国内外の４年制大学および大学院卒業、実務経験2年以上、経営コンサルティング経験者の全てに該当する方","","スタンダードレベル","","◆創造力◆実行推進力◆知性◆メンタルタフネス","職務内容にこだわらず、高い壁を自らの力で乗り越えた経験がある方","東京都","港区","","","大卒以上","25","32","900","1200","事業拡大による増員","1005309","戦略コンサルティングファーム","①トップクオリティーの経営コンサルティングサービスの提供②自社資本による新規事業の開発・運営③クライアント企業とのコラボレーションによる新規事業の開発・運営。2014年8月には、コーポレートベンチャーキャピタルを設立し、「事業会社×ベンチャー」の連携を通じ、両者の事業創造加速も支援。その他にも、サーチファンドの運営及び投資先企業の経営支援を行っている、関連会社も同年に設立。","同社は、エレクトロニクス、航空、インターネット、自動車などの日本を代表する企業の経営コンサルティングを行っている。スポーツの分野では、野球において、プロ野球オーナー会議へ参加、パ・リーグのリーグ・ビジネス、ファイターズやイーグルスなど多数のチーム・ビジネスをキーマンとともにつくり上げており、サッカーでは、Jリーグのリーグ・ビジネス、ヴィッセルやベルマーレなどのチームビジネスのサポートを続けている。コンサルティング案件は95％がBtoCの成長支援。スポーツ（野球・サッカー）、エンタテイメント（音楽）などが得意領域で長期的支援がメイン。赤字事業を買い取り、自らが株式をもって事業をターンアラウンドし黒字化してクライアントに売却したりとリスクを共有するスタイルも得意としている","2009","","","40","東京都","港区南青山1-4-2　八並ビル6F","【一人ひとりの心に火を点ける】それが同社の流儀です。コンサルタントとして活躍しながら、自身で事業を自由に立ち上げる事が出来る、自分自身を磨く環境としては、最高に素晴らしい環境。","船橋","2015/04/15 10:48:44","コンサルタント/戦略コンサルティングファーム","新規事業","戦略コンサルティングファーム","コンサルタント","少数精鋭","財務"
"1023834","1","1","ハイクラス","","","","","","02","01","ビジネスコンサルタント","経営戦略系","02","06","ビジネスコンサルタント","その他","2","6","ビジネスコンサルタント","その他","株式会社フィールドマネージメント","アナリスト","様々なプロジェクトに関わり、課題解決に向けての情報収集・分析、プロジェクトミーティングのファシリテーション、経営層へのプレゼンテーション、現場での実行サポートなど幅広い役割を担っていただきます。コンサルティング業務に加えて、自らがが経営を行うことが可能であり、新規事業を立ち上げることを会社として推奨してる⇒新規事業立ち上げの際には、(1)財務的なサポート(2)同社のネットワークを活かしたビジネスパートナー、クライアントを紹介する等、会社として全面的にバックアップをしてくれる","【応募資格】国内外の4年制大学および大学院卒業、司法修習生、M.D. 、Ph.D. 、Post-Docのいずれかに該当する方","","スタンダードレベル","","◆創造力◆実行推進力◆知性◆メンタルタフネス","職務内容にこだわらず、高い壁を自らの力で乗り越えた経験がある方","東京都","港区","","","大卒以上","25","28","600","900","事業拡大による増員","1005309","戦略コンサルティングファーム","①トップクオリティーの経営コンサルティングサービスの提供②自社資本による新規事業の開発・運営③クライアント企業とのコラボレーションによる新規事業の開発・運営。2014年8月には、コーポレートベンチャーキャピタルを設立し、「事業会社×ベンチャー」の連携を通じ、両者の事業創造加速も支援。その他にも、サーチファンドの運営及び投資先企業の経営支援を行っている、関連会社も同年に設立。","同社は、エレクトロニクス、航空、インターネット、自動車などの日本を代表する企業の経営コンサルティングを行っている。スポーツの分野では、野球において、プロ野球オーナー会議へ参加、パ・リーグのリーグ・ビジネス、ファイターズやイーグルスなど多数のチーム・ビジネスをキーマンとともにつくり上げており、サッカーでは、Jリーグのリーグ・ビジネス、ヴィッセルやベルマーレなどのチームビジネスのサポートを続けている。コンサルティング案件は95％がBtoCの成長支援。スポーツ（野球・サッカー）、エンタテイメント（音楽）などが得意領域で長期的支援がメイン。赤字事業を買い取り、自らが株式をもって事業をターンアラウンドし黒字化してクライアントに売却したりとリスクを共有するスタイルも得意としている","2009","","","40","東京都","港区南青山1-4-2　八並ビル6F","【一人ひとりの心に火を点ける】それが同社の流儀です。コンサルタントとして活躍しながら、自身で事業を自由に立ち上げる事が出来る、自分自身を磨く環境としては、最高に素晴らしい環境。","船橋","2015/04/15 10:48:43","アナリスト/戦略コンサルティングファーム","新規事業","戦略コンサルティングファーム","アナリスト","少数精鋭","ファシリテーション"
"1023836","1","1","ハイクラス","","","","","","02","01","ビジネスコンサルタント","経営戦略系","02","06","ビジネスコンサルタント","その他","2","6","ビジネスコンサルタント","その他","株式会社フィールドマネージメント","プロジェクトマネージャー","様々なプロジェクトの責任者として、そのプロジェクト全体を把握・管理し、完遂するための全てを行います。問題解決思考、チームを率いるリーダーシップ、コミュニケーションなど総合力を発揮することで顧客の期待を超えるアウトプットクオリティを担保します。コンサルティング業務に加えて、自らがが経営を行うことが可能であり、新規事業を立ち上げることを会社として推奨している⇒新規事業立ち上げの際には、(1)財務的なサポート(2)同社のネットワークを活かしたビジネスパートナー、クライアントを紹介する等、会社として全面的にバックアップをしてくれる環境である","国内外の４年制大学および大学院卒業、実務経験5年以上、経営コンサルティング経験者、の全てに該当する方","","スタンダードレベル","","◆創造力◆実行推進力◆知性◆メンタルタフネス","","東京都","港区","","","大卒以上","30","40","1500","2000","事業拡大による増員","1005309","戦略コンサルティングファーム","①トップクオリティーの経営コンサルティングサービスの提供②自社資本による新規事業の開発・運営③クライアント企業とのコラボレーションによる新規事業の開発・運営。2014年8月には、コーポレートベンチャーキャピタルを設立し、「事業会社×ベンチャー」の連携を通じ、両者の事業創造加速も支援。その他にも、サーチファンドの運営及び投資先企業の経営支援を行っている、関連会社も同年に設立。","同社は、エレクトロニクス、航空、インターネット、自動車などの日本を代表する企業の経営コンサルティングを行っている。スポーツの分野では、野球において、プロ野球オーナー会議へ参加、パ・リーグのリーグ・ビジネス、ファイターズやイーグルスなど多数のチーム・ビジネスをキーマンとともにつくり上げており、サッカーでは、Jリーグのリーグ・ビジネス、ヴィッセルやベルマーレなどのチームビジネスのサポートを続けている。コンサルティング案件は95％がBtoCの成長支援。スポーツ（野球・サッカー）、エンタテイメント（音楽）などが得意領域で長期的支援がメイン。赤字事業を買い取り、自らが株式をもって事業をターンアラウンドし黒字化してクライアントに売却したりとリスクを共有するスタイルも得意としている","2009","","","40","東京都","港区南青山1-4-2　八並ビル6F","【一人ひとりの心に火を点ける】それが同社の流儀です。コンサルタントや、マネージャーとして活躍しながら、自身で事業を自由に立ち上げる事が出来る、自分自身を磨く環境としては、最高に素晴らしい環境。","船橋","2015/04/15 10:48:43","プロジェクトマネージャー/戦略コンサルティングファーム","新規事業","プロジェクトマネージャー","コンサルティングファーム","経営コンサルタント","事業再生コンサルタント"
