"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"1023649","1","1","ハイクラス/外資系","1","","","","","06","00","経理・財務・会計","","03","00","経営企画・事業企画","","15","00","金融関連","","株式会社ユー・エス・ジェイ","MDプランニングシニアマネージャー【マネージャークラス】","テーマパーク内での商品、ギフト製品に関するマーチャンダイズ部の事業計画に基づいた部門予算を達成するために部門の方針を提示し、商品開発方針、販促方針へ具現化、チームの戦略を策定、プログラムを中心とした商品計画の構築と販売促進活動を遂行していただきます。商品計画、販売計画（プロパー、マークダウン）の戦略立案と各種実行、在庫の目標達成を行っていただきます。部下のマネジメント、商品企画、クオリティ管理、キャラクターライセンス管理、アート開発、ベンダーコントロール、販売促進年間予算の策定などをマネジメントしていただきます。","製造小売業のMDのご経験（SKU年間600以上）、製造小売りに関する商品計画立案、実行の実務経験3年以上、製造小売りに関する分析、財務のご経験、小売りでのマーケティング経験、チームマネジメント経験のある方","キャラクタービジネスに関する理解、インパークマーケティングに関する理解のある方歓迎。雑貨、玩具","ビジネスレベル","","以下コンピテンシーをお持ちの方。<BR>■オーナーシップ<BR>■迅速性<BR>■協調性<BR>■ホスピタリティマインド<BR>■前向き<BR>■ストレス耐性","製造小売業のMDのご経験（SKU年間600以上）、製造小売りに関する商品計画立案、実行の実務経験3年以上、製造小売りに関する分析、財務のご経験、小売りでのマーケティング経験、チームマネジメント経験のある方","大阪府","大阪市","","","大卒以上","30","42","800","1200","新規補充","1002805","アミューズメント・エンターテインメント","テーマパーク「ユニバーサル・スタジオ・ジャパン(R)」の運営。","米国法人ビベンディ・ユニバーサル・エンターテイメント・エルエルエルピー他ユニバーサルグループ各社から、知的財産の利用についてライセンスを受けております。ゲストの期待を上回る「感動とサービス」を提供することにより、エンターテインメント&レジャー業界におけるアジアのリーディングカンパニーを目指します。女性管理職採用に現在積極的。最近ではハリーポッターランド、ハリウッドドリームザライドバックドロップでの刺激的なアトラクションが人気です。","2001","3","3710000","6580","大阪府","大阪市此花区桜島2丁目1-33","ゲストへの感動とサービスを提供する同社では、理念としてまずは「可能性にチャレンジし、失敗を恐れずやろう」というものがあります。慎重すぎる方よりもまずは行動を起こすタイプの方がご活躍されています。最近ではハリーポッターのアトラクションがオープンし益々存在感を増しています。","岡田","2014/10/20 7:01:43"
"1022719","1","1","ハイクラス/外資系","1","","","","","08","03","営業","販売・サービス関連","","","","","","","","","株式会社ユー・エス・ジェイ","マーチャンダイジングマネージャー　正社員　課長代理","マーチャンダイズ部（物販部門）における商品企画・開発チームのマネージャーとして以下の業務を担っていただきます。■社内外の資源（イベントキャラクター等のコンテンツ）を活用し商品を企画、開発し事業計画や目標を達成する■マーケット動向やトレンドを把握し、ゲストの期待を超える商品開発を行う■クオリティの高い商品を開発するとともに安全な商品を投入する","キャラクタービジネス、ブランドビジネスにおける商品企画、開発経験。マネジメント経験、ライセンスの経験。企画立案力、数値分析力、プレゼンテーション能力、交渉力、マーケティング力","小売業における営業経験（売上、発注、在庫管理）やマーケティング経験。英語力中級程度、５名以上のマネジメント経験","スタンダードレベル","","","キャラクタービジネス、ブランドビジネスにおける商品企画、開発経験。マネジメント経験、ライセンスの経験。企画立案力、数値分析力、プレゼンテーション能力、交渉力、マーケティング力","大阪府","大阪市","","","","28","39","720","925","異動補充","1002805","アミューズメント・エンターテインメント","テーマパーク「ユニバーサル・スタジオ・ジャパン(R)」の運営。","米国法人ビベンディ・ユニバーサル・エンターテイメント・エルエルエルピー他ユニバーサルグループ各社から、知的財産の利用についてライセンスを受けております。ゲストの期待を上回る「感動とサービス」を提供することにより、エンターテインメント&レジャー業界におけるアジアのリーディングカンパニーを目指します。女性管理職採用に現在積極的。最近ではハリーポッターランド、ハリウッドドリームザライドバックドロップでの刺激的なアトラクションが人気です。","2001","3","3710000","6580","大阪府","大阪市此花区桜島2丁目1-33","","岡田","2014/10/20 7:01:42"
"1022562","1","1","ハイクラス/外資系","1","","","","","05","00","人事","","05","00","人事","","05","00","人事","","株式会社ユー・エス・ジェイ","人事【課長から主任クラス】","人事職各分野を担当いただける方を募集します。複数名の募集です。それぞれのご経験、知識、ご希望によりご相談させてください。(1)部門付き人事担当（部門人事コンサルタント）(2)人材開発担当(3)採用担当(4)労務管理・給与オペレーション担当。いずれの職種もできれば課長代理以上の方をイメージしています。人材開発に関しては本社向けの社員に向けた教育、人材開発をご担当頂く予定です。","上記(1)から(4)いずれかの業務経験5年以上の方。新たに創造していく、新たな人事取組みを推進していくことに興味と強みがある方。リーダーシップ、変革性のある方。まずやるという行動力のある方。","英語のできる方歓迎","スタンダードレベル","","明るく行動的で自主性のある方","人事業務の実務経験者","大阪府","大阪市","","","大卒以上","28","42","400","950","増員","1002805","アミューズメント・エンターテインメント","テーマパーク「ユニバーサル・スタジオ・ジャパン(R)」の運営。","米国法人ビベンディ・ユニバーサル・エンターテイメント・エルエルエルピー他ユニバーサルグループ各社から、知的財産の利用についてライセンスを受けております。ゲストの期待を上回る「感動とサービス」を提供することにより、エンターテインメント&レジャー業界におけるアジアのリーディングカンパニーを目指します。女性管理職採用に現在積極的。最近ではハリーポッターランド、ハリウッドドリームザライドバックドロップでの刺激的なアトラクションが人気です。","2001","3","3710000","6580","大阪府","大阪市此花区桜島2丁目1-33","ゲストの期待を上回る「感動とサービス」を提供する理念のある企業です。しっかりとした理念のある企業で働くことは、重要だと思います","岡田","2014/10/20 7:01:41"
