"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"1004684","1","0","","","","上場","","","10","06","ITエンジニア","社内システム関連","10","06","ITエンジニア","社内システム関連","","","","","カルチュア・コンビニエンス・クラブ株式会社","プロジェクトマネージャー、SE","次の各システムの企画、要件定義、概要設計、運用定着の推進を担当いただきます。システム開発作業は外注に依頼します。（1）フランチャイズ事業の基幹システム、店舗システム。（2）会員・エンタメ商品のDB構築。（3）グループ情報系システム（グループウェア、ポータル、会計、勤怠）。（4）エンタメ商材の商物流システム。","ITの基本的な知識。要件定義や業務設計経験。ITを使って新しいビジネスを立案、業務イノベーションを企画でき、それを具現化・運用できる方。","","------","","変化への対応を厭わない方。前向きで能動的に考えて行動できる方。","ベンダー、コンサルティング会社、事業会社の情報システム部門などでの経験。","東京都","渋谷区","","","不問","25","35","400","700","グループ企業全体でIT人材を強化するため。","210623","流通・小売・販売","レンタルビデオ、レンタルCD、レンタルDVD、セルビデオ、セルCD、セルDVD、書籍販売、ゲーム販売、バラエティグッズ販売をワンストップで提供。直営店（約１０％）とフランチャイズ店（９０％）を展開。そのほか、DVDの宅配サービス事業、エンタテインメントポータルサイト運営、ポイントカード等のプラットフォームを通じて、お客様にライフスタイルを提案する企業集団の純粋持株会社。連結対象会社数79社。","ショップの約９０％に相当する1400店はFC店。ポイント事業においては、大手コンビニエンスはじめ、アライアンス企業は45社、店舗数は実に28000店。１日あたり約200万件のポイント付与・還元をコントロールする日本最大級のポイントシステムを運用。※上記従業員数は、グループ全体の人数です。リアル店舗と、エンタテインメント総合サイトを通じて店舗とネットを組み合わせ、相乗効果を生み出す「クリック＆モルタル」戦略を実践しており、主力の店舗会員とエンタメ総合サイト会員を中心に、グループ合計で4600万人に達します。","1985","9","1233200","3448","東京都","渋谷区恵比寿4-20-3　恵比寿ガーデンプレイス２１階","IT部門は経営や現場部門と密接な関係ですので、ITスキル以外にも経営、商物流、小売業界、会員ビジネス等の知識・スキルが身に付きます。","奈良","2008/06/16 11:22:06"
"1004686","1","0","","","","上場","","","10","07","ITエンジニア","ネットワーク・セキュリティ","10","06","ITエンジニア","社内システム関連","10","06","ITエンジニア","社内システム関連","カルチュア・コンビニエンス・クラブ株式会社","ネットワークエンジニア","対店舗、取引先、社内という大規模分散型ネットワークの企画立案及び構築、保守運用業務。インターネットインフラサーバーの企画立案から構築補修運用業務まで担当いただきます。","ネットワークの構築、運用経験（目安として3年以上の経験）。","IPA、テクニカルエンジニア資格保有者歓迎。","------","","変化への対応を厭わない方。前向きで能動的に考えて行動できる方。","ネットワークインフラ構築、サーバー構築経験。","東京都","渋谷区","","","不問","25","35","400","600","グループ全体でIT部門を強化します。","210623","流通・小売・販売","レンタルビデオ、レンタルCD、レンタルDVD、セルビデオ、セルCD、セルDVD、書籍販売、ゲーム販売、バラエティグッズ販売をワンストップで提供。直営店（約１０％）とフランチャイズ店（９０％）を展開。そのほか、DVDの宅配サービス事業、エンタテインメントポータルサイト運営、ポイントカード等のプラットフォームを通じて、お客様にライフスタイルを提案する企業集団の純粋持株会社。連結対象会社数79社。","ショップの約９０％に相当する1400店はFC店。ポイント事業においては、大手コンビニエンスはじめ、アライアンス企業は45社、店舗数は実に28000店。１日あたり約200万件のポイント付与・還元をコントロールする日本最大級のポイントシステムを運用。※上記従業員数は、グループ全体の人数です。リアル店舗と、エンタテインメント総合サイトを通じて店舗とネットを組み合わせ、相乗効果を生み出す「クリック＆モルタル」戦略を実践しており、主力の店舗会員とエンタメ総合サイト会員を中心に、グループ合計で4600万人に達します。","1985","9","1233200","3448","東京都","渋谷区恵比寿4-20-3　恵比寿ガーデンプレイス２１階","大規模分散型NWを経験できます。","奈良","2008/06/16 11:22:05"
"1004687","1","0","","","","上場","","","10","06","ITエンジニア","社内システム関連","10","06","ITエンジニア","社内システム関連","10","08","ITエンジニア","WEBアプリケーション","カルチュア・コンビニエンス・クラブ株式会社","プログラマー","自社サイト（WEB及びモバイル）のシステム開発を担当いただきます。詳細設計～実装～システムテスト～リリース。","オブジェクト指向について理解している方。PerlあるいはJavaでの開発経験がある方。開発のスケジュールコントロールをきちんと行える方。Webサイトあるいはモバイルサイト開発経験。Linux環境のシステム開発経験がある方。DBをユーザーレベルで使用できること。","","------","","変化への対応を厭わない方。前向きで能動的に考えて行動できる方。","Webシステム、モバイルシステム開発経験。Perl、Java経験。","東京都","渋谷区","","","不問","24","40","350","700","グループ企業全体でIT人材を強化するため。","210623","流通・小売・販売","レンタルビデオ、レンタルCD、レンタルDVD、セルビデオ、セルCD、セルDVD、書籍販売、ゲーム販売、バラエティグッズ販売をワンストップで提供。直営店（約１０％）とフランチャイズ店（９０％）を展開。そのほか、DVDの宅配サービス事業、エンタテインメントポータルサイト運営、ポイントカード等のプラットフォームを通じて、お客様にライフスタイルを提案する企業集団の純粋持株会社。連結対象会社数79社。","ショップの約９０％に相当する1400店はFC店。ポイント事業においては、大手コンビニエンスはじめ、アライアンス企業は45社、店舗数は実に28000店。１日あたり約200万件のポイント付与・還元をコントロールする日本最大級のポイントシステムを運用。※上記従業員数は、グループ全体の人数です。リアル店舗と、エンタテインメント総合サイトを通じて店舗とネットを組み合わせ、相乗効果を生み出す「クリック＆モルタル」戦略を実践しており、主力の店舗会員とエンタメ総合サイト会員を中心に、グループ合計で4600万人に達します。","1985","9","1233200","3448","東京都","渋谷区恵比寿4-20-3　恵比寿ガーデンプレイス２１階","日本№１エンターテインメントオンラインサービスを提供するグループ会社でのポジションです。","奈良","2008/06/16 11:22:02"
"1004689","1","0","","","","上場","","","10","06","ITエンジニア","社内システム関連","10","06","ITエンジニア","社内システム関連","10","10","ITエンジニア","その他IT系","カルチュア・コンビニエンス・クラブ株式会社","DBエンジニア","自社サービスサイトの開発支援。大規模なデータベースシステム運用に関して性能分析や改善提案など具体的な作業を行います。","OracleMasterGold相当の知識。OracleDBの設計、構築、運用、障害対応経験。Unix、Linux環境の構築、管理経験。DBチューニング経験（初期化パラメータ、物理構成、SQL、パーティショニング、オンメモリDB等）。オープン系システム開発経験、またはSI会社の管理経験があり、開発工程を理解していること。","","------","","変化への対応を厭わない方。前向きで能動的に考えて行動できる方。","OracleDB設計、構築、運用経験。DBチューニング経験。","東京都","渋谷区","","","不問","24","40","350","700","グループ企業全体でIT人材を強化するため。","210623","流通・小売・販売","レンタルビデオ、レンタルCD、レンタルDVD、セルビデオ、セルCD、セルDVD、書籍販売、ゲーム販売、バラエティグッズ販売をワンストップで提供。直営店（約１０％）とフランチャイズ店（９０％）を展開。そのほか、DVDの宅配サービス事業、エンタテインメントポータルサイト運営、ポイントカード等のプラットフォームを通じて、お客様にライフスタイルを提案する企業集団の純粋持株会社。連結対象会社数79社。","ショップの約９０％に相当する1400店はFC店。ポイント事業においては、大手コンビニエンスはじめ、アライアンス企業は45社、店舗数は実に28000店。１日あたり約200万件のポイント付与・還元をコントロールする日本最大級のポイントシステムを運用。※上記従業員数は、グループ全体の人数です。リアル店舗と、エンタテインメント総合サイトを通じて店舗とネットを組み合わせ、相乗効果を生み出す「クリック＆モルタル」戦略を実践しており、主力の店舗会員とエンタメ総合サイト会員を中心に、グループ合計で4600万人に達します。","1985","9","1233200","3448","東京都","渋谷区恵比寿4-20-3　恵比寿ガーデンプレイス２１階","日本№１エンターテインメントオンラインサービスを提供するグループ会社でのポジションです。","奈良","2008/06/16 11:22:02"
"1004690","1","0","","","","上場","","","03","00","経営企画・事業企画","","06","00","経理・財務・会計","","","","","","カルチュア・コンビニエンス・クラブ株式会社","IT投資等の経営管理","グループ全体のITガバナンスの強化。グループ内主要事業会社の数値管理と把握。IT投資、経費、資産残高、投資執行状況の管理。集約結果を経営に報告。改善提案の実施。","経理実務経験（簿記知識必須）。経営管理業務、決算業務経験。","管理会計が得意な方歓迎。","------","","経営マインドがあり、部門間調整力、コミュニケーション力ある方。変化への対応を厭わない方。前向きで能動的に考えて行動できる方。","経理実務（財務会計＋管理会計）。","東京都","渋谷区","","","不問","28","35","450","600","グループ全体のIT部門を強化します。","210623","流通・小売・販売","レンタルビデオ、レンタルCD、レンタルDVD、セルビデオ、セルCD、セルDVD、書籍販売、ゲーム販売、バラエティグッズ販売をワンストップで提供。直営店（約１０％）とフランチャイズ店（９０％）を展開。そのほか、DVDの宅配サービス事業、エンタテインメントポータルサイト運営、ポイントカード等のプラットフォームを通じて、お客様にライフスタイルを提案する企業集団の純粋持株会社。連結対象会社数79社。","ショップの約９０％に相当する1400店はFC店。ポイント事業においては、大手コンビニエンスはじめ、アライアンス企業は45社、店舗数は実に28000店。１日あたり約200万件のポイント付与・還元をコントロールする日本最大級のポイントシステムを運用。※上記従業員数は、グループ全体の人数です。リアル店舗と、エンタテインメント総合サイトを通じて店舗とネットを組み合わせ、相乗効果を生み出す「クリック＆モルタル」戦略を実践しており、主力の店舗会員とエンタメ総合サイト会員を中心に、グループ合計で4600万人に達します。","1985","9","1233200","3448","東京都","渋谷区恵比寿4-20-3　恵比寿ガーデンプレイス２１階","経営と現場の一体化を推進する業務が中心です。会計知識にとどまらず経営も学べます。","奈良","2008/06/16 11:21:55"
"1004691","1","0","","","","上場","","","07","02","その他企画・事務・管理","法務","","","","","","","","","カルチュア・コンビニエンス・クラブ株式会社","法務","FC契約の審査業務（契約内容の検討、作成、指導、出店後の相談対応）。各種契約書の契約審査、法律相談の対応、M&Aをはじめとした新規事業展開に関する法的視点からのアドバイス、会社法に基づく書類作成など。","企業法務の実務経験（業界/年数不問）が必須です。契約審査、M＆Aや新規事業展開に伴い、法務の立場でアドバイスした経験。","フランチャイズ業界・小売業の経験者歓迎。英語力ある方歓迎。","スタンダードレベル","","ビジネスマインドが豊富な方。","小売流通業における企業法務実務経験。","東京都","渋谷区","","","大卒以上","25","35","500","800","今後も益々積極的な経営を行うにあたり法務面の戦力も増強が必要です。","210623","流通・小売・販売","レンタルビデオ、レンタルCD、レンタルDVD、セルビデオ、セルCD、セルDVD、書籍販売、ゲーム販売、バラエティグッズ販売をワンストップで提供。直営店（約１０％）とフランチャイズ店（９０％）を展開。そのほか、DVDの宅配サービス事業、エンタテインメントポータルサイト運営、ポイントカード等のプラットフォームを通じて、お客様にライフスタイルを提案する企業集団の純粋持株会社。連結対象会社数79社。","ショップの約９０％に相当する1400店はFC店。ポイント事業においては、大手コンビニエンスはじめ、アライアンス企業は45社、店舗数は実に28000店。１日あたり約200万件のポイント付与・還元をコントロールする日本最大級のポイントシステムを運用。※上記従業員数は、グループ全体の人数です。リアル店舗と、エンタテインメント総合サイトを通じて店舗とネットを組み合わせ、相乗効果を生み出す「クリック＆モルタル」戦略を実践しており、主力の店舗会員とエンタメ総合サイト会員を中心に、グループ合計で4600万人に達します。","1985","9","1233200","3448","東京都","渋谷区恵比寿4-20-3　恵比寿ガーデンプレイス２１階","FC店の出店や、M&A、他企業との提携など、積極的な事業展開を行っています。","奈良","2008/06/16 11:21:54"
