"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日","HP用職種名(EM使用欄)"  ,"アピールしたいKW1(単語)" ,"アピールしたいKW2(単語)" ,"アピールしたいKW3(単語)" ,"アピールしたいKW4(単語)" ,"アピールしたいKW5(単語)" 
"1025622","1","1","ハイクラス","","","上場","","","03","00","経営企画・事業企画","","3","0","経営企画・事業企画","","02","01","ビジネスコンサルタント","経営戦略系","楽天株式会社","【総合企画部】プリンシパル","総合企画部は、同社グループの更なる成長と発展のため、グループの戦略・経営基盤増強・競争力強化の役割を担う部署です。グループ戦略施策の推進母体として、経営上の重要事項、たとえばM&A、アライアンスや事業戦略上の意思決定に関する支援を経営層に対して行い、 共に実行していきます。グローバルマーケットでビジネスを展開しているため、グローバルの経営陣や最先端を行く企業と一緒に仕事を行います。 経営層との中長期戦略の検討、策定・M&A、アライアンス等、重要施策の企画立案、意思決定支援、実行・事業・組織再編等のグループ全体のプロジェクトの企画、実行・グループ経営強化に向けた仕組みづくり、新規ビジネス領域の検討と実行推進。","下記のいずれかのご経験がある方を求めます。経営企画、経営管理経験をお持ちの方。コンサルティング経験をお持ちの方。またはインターネットサービス経験者。海外ビジネス経験が豊富な方験、企業買収や経営統合業務の経験がある方。問題解決能力：調査、分析、企画、プレゼンテーション、ファシリテーション、プロジェクトマネージメント、等のスキル。グローバル経営層、各事業の経営層と効果的にコミュニケーションする力。","","ビジネスレベル","800","変化に対応できる方","経営企画、経営管理経験をお持ちの方。コンサルティング経験をお持ちの方。インターネットサービス経験者。海外ビジネス経験が豊富な方験、企業買収や経営統合業務の経験がある方。問題解決能力：調査、分析、企画、プレゼンテーション、ファシリテーション、プロジェクトマネージメント、等のスキル。グローバル経営層、各事業の経営層と効果的にコミュニケーションする力。","東京都","品川区","","","大卒以上","26","37","800","1300","成長著しい事業領域にて即戦力となる方を積極募集。","100204","インターネット","国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。","同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。","1997","2","11160200","11872","東京都","品川区東品川4-12-3　品川シーサイド楽天タワー","同社の経営企画のイメージです。","武田","2015/05/26 19:09:52","経営企画・推進/国内最大級インターネットショッピングモール運営企業","ECサービス","BPR","業務改善","経営企画","事業戦略"
"1025154","1","1","ハイクラス","","","上場","","","3","0","経営企画・事業企画","","07","03","その他企画・事務・管理","企画系","02","01","ビジネスコンサルタント","経営戦略系","楽天株式会社","戦略プロジェクトマネージャー【楽天市場企画部】","グループ全体の成長を牽引する、同社の根幹事業である市場事業において、更なる売上・利益拡大を目指し、出店店舗様・ユーザー様への新たな価値提供や既存サービスの改善、事業運営の効率化など様々な経営戦略課題を解決するプロジェクトの推進をお任せします。【具体的な業務内容】事業全体に関わる各種戦略プロジェクトにおいて、事業戦略実行のための重要課題を特定し、実行可能な解決策を見出し、戦略の実行や仕組み化に携わるなど、業務は多岐に渡ります。同社グループの強みを最大限に生かすため、Eコマース関連事業との連携も進めて頂く、裁量権の大きな業務となります。経営陣との距離も近く、大規模な売上や世間へのインパクトの大きさを実感できる仕事です、","戦略系コンサルティングファーム出身者、もしくは事業会社の企画職経験者。課題解決型の仕事ができる方。","「企画力、戦略実行力」に長けている方。※例えば以下のようなスキル（いずれか）をお持ちの方歓迎。（1）スピードが求められる環境下で、期限までにプロジェクトを成功させた経験がある。（2）戦略実行のための本質的な課題抽出を行い、効果的な解決策の立案を行った経験がある。（3）立場の違う他部署と円滑にコミュニケーションができ、戦略実行に巻き込みながらプロジェクト運営を行った経験がある。","スタンダードレベル","800","企画力だけでなく、実行力がある方。コミュニケーション力の高い方。数字を扱う感覚に秀でている方。仮説立案・検証の経験のある方。短い期限の中でも成果を挙げられる方。","事業戦略企画推進のご実績。","東京都","品川区","","","大卒以上","26","34","600","1100","更なる事業成長に向け積極募集","100204","インターネット","国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。","同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。","1997","2","11160200","11872","東京都","品川区東品川4-12-3　品川シーサイド楽天タワー","次世代ECビジネスの先端に関わることができる仕事です。","武田","2015/05/26 19:09:52","戦略プロジェクトマネージャー/大手ECサイト企画・運営企業","事業企画","事業推進","グローバル","ポストコンサル","事業戦略"
"1025086","1","1","ハイクラス","","","上場","","","3","0","経営企画・事業企画","","03","00","経営企画・事業企画","","02","01","ビジネスコンサルタント","経営戦略系","楽天株式会社","ビジネスマネージャー【全事業領域】","同グループの事業成長をリードする即戦力となるリーダー人材を募集します。担当ミッションは、ご経験・スキルを元に選考の中でご相談の上、決定します。具体的には主要事業、新規事業等の戦略立案・事業推進。担当していただく事業の利益拡大のため、さらなる価値の創造を行っていただきます。課題の抽出、分析および優先順位付け。マーケットリサーチ、競合分析、ソリューションの提案および実行、仕組み化。ソリューションの例としては、既存オペレーションのブラッシュアップや新規事業の立上げなどが考えられます。（配属事業・部署により業務内容は変わります）業務の詳細につきましては、選考の中で理解を深めて頂きたいと思います。ご自身の経験を踏まえ、どのフィールドで活躍していきたいかお聞かせ下さい。","5年から10年程度の戦略コンサンルティング、事業責任者の経験。英語力（ビジネスレベル以上）。 戦略立案能力、執行力、オペレーション力が秀でた方。スピード感があり、自ら率先垂範して動くことができる方。環境の変化に柔軟に対応できる方。","事業を立ち上げ、軌道に乗せた経験のある方。複数ラインのマネジメント経験のある方（統括部長等）。マネージャー育成、メンバー育成経験が得意な方。海外でのビジネス経験豊富な方（現地駐在経験は尚歓迎）。その他、以下に該当するような方。インターネットビジネス経験者、Eコマースやインターネット広告。消費財を扱う事業会社で、ビジネスの戦略上インターネットを利用してきた方、業務を円滑に推進していくために、周囲と信頼関係を築き、円滑に業務を遂行していける方。","ビジネスレベル","800","成長意欲の強い方、自ら高い目標を設定し、逆引きで物事を考え、やり遂げるというスタイルを「実践」してきた方。対人コミュ二ケーションにこだわりを持ち、かつ、その能力も高いと自負している方。","","東京都","品川区","","","大卒以上","28","35","600","1500","増員","100204","インターネット","国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。","同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。","1997","2","11160200","11872","東京都","品川区東品川4-12-3　品川シーサイド楽天タワー","最大手インターネット事業の同社で事業企画のポジションとなります御経験に合わせて、担当領域を決定していきます。","武田","2015/05/26 19:09:51","事業企画/最大手インターネットサービス運営企業","グローバル","事業企画","グローバルマーケティング","ECサービス","事業責任者"
"1023248","1","1","ハイクラス","","","上場","","","3","0","経営企画・事業企画","","03","00","経営企画・事業企画","","07","03","その他企画・事務・管理","企画系","楽天株式会社","【楽天市場事業】事業企画推進","同社の新規ビジネス・サービス開発を担う部門にて、新規事業の立上げをはじめ、アライアンス・業務提携及びM＆Aに関する戦略立案と実行、進捗管理の全てをお任せするポジションです。","事業会社における事業企画・開発の経験と実績をお持ちの方（業界問わず）。または、コンサルティングファーム出身者（戦略、IT、業務プロセス）。","","スタンダードレベル","800","事業、組織の将来を思い描き、進化させる意欲、リーダーシップのある方。自ら課題を見つけ出すことができ、企画アイデアを豊富に提案できる方。多様なステークホルダーとの合意形成、推進を行うだけの「やりきる」マインドを持つ方。","【必要な能力】■提案力■実行力■コミュニケーション力■TOEIC 800点以上※同程度の英語力があれば上記を満たしていない場合でも応募は可能です【歓迎する経験・スキル■ネット業界/EC業界経験者■分析力（定量/定性）■業務改革/システム要件定義■組織/プロジェクトマネジメント■プレゼンテーションスキル","東京都","品川区","","","大卒以上","27","37","600","1200","増員","100204","インターネット","国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。","同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。","1997","2","11160200","11872","東京都","品川区東品川4-12-3　品川シーサイド楽天タワー","新規ビジネスやサービス開発を強化することで収益構造の改善を図ることを最大のミッションとするポジションです。","岡田","2015/05/26 19:09:50","事業企画推進/国内最大級ECサービス運営企業","ECサイト","新規事業開発","M&A","グローバル","事業企画"
"1024585","1","1","","","","上場","","","3","0","経営企画・事業企画","","07","03","その他企画・事務・管理","企画系","04","01","マーケティング・広報・IR","マーケティング","楽天株式会社","【モバイル事業】戦略担当","同社モバイル事業は、同社グループが提供する、NTTドコモのLTE網を利用したMVNO（仮想移動体通信事業者）サービスです。2014年末よりサービスを開始。今回、プロジェクトを推進しオペレーションを作り上げていくメンバーを募集。【ミッション】日本の消費者に対してより高品質で安価な移動体通信サービスを提供すること。そのためにできることはなんでもサービスとして実現します。新規サービスの立ち上げ、既存サービスの改善等消費者のニーズ、マーケットのトレンド、コンペテターの動向を捉えながら、企画を立案し、内外の関係者とコミュニケーションをし、サービス実現に向け進めていきます。【業務内容例】今後リリースするデバイスの戦略立案・機種の検討・外部ベンダーとの交渉を通じた調達とリリース・改善等。他のMVNOやMNOと差別化した、プライスプランの設計やサービスの企画。店舗出店に係る業務。付加サービスの検討、調達。","社会人経験3年～10年位の方（第二新卒の方歓迎）。サービス企画経験：様々なマーケティングリサーチを行いながら消費者向けのサービスの企画ができる方。営業経験：高いコミュニケーション力を持ち、クライアントに対して企画提案型の営業ができる方。PC基本操作が出来、メール、ブラウザソフト、MicrosoftExcel、PowerPoint等を日常的に使える方。英語力TOEIC：800点以上の方。※同程度の英語力があれば上記を満たしていない場合でも応募は可能です。","移動体通信業界・IT業界での経験。デバイスが好きでモバイルサービスに対する興味のある方。","ビジネスレベル","800","事業、組織の将来を思い描き、進化させる意欲、リーダーシップのある方。自ら課題を見つけ出すことができ、企画アイデアを豊富に提案できる方。推進を行うだけの「やりきる」マインドを持つ方。仮説・実行・検証・仕組み化のPDCAステップを繰り返しながら、責任を持って業務を推進できる方。スピード感を持って業務遂行ができる方。","モバイル事業領域での戦略立案。事業戦略企画。","東京都","品川区","","","大卒以上","28","35","600","800","同社代表の肝入りビジネスを展開していくにあたって即戦力の募集。","100204","インターネット","国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。","同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。","1997","2","11160200","11872","東京都","品川区東品川4-12-3　品川シーサイド楽天タワー","2014年11月に新たに立ち上がった同社のモバイル事業。高品質・超低価格の端末提供はもちろん、同社グループが展開する各種サービスと連携、かつ9700万人ものグループ会員基盤を活かし、ユーザーの方にとって非常に便益の大きなこれまでにない携帯電話サービスの提供を行うことを目指しています。従来のキャリアの携帯電話サービスとは全く異なるイノベーティブなサービスを提供することで、世の中の変革を共に目指すメンバーを募集しています。このモバイル事業は、同社代表の肝入りで立ち上げており、現在スマホユーザーは6000万人超のうち、約20％に相当する1000万人のユーザー（契約）獲得を目指すと各メディアで宣言しています。将来的には、同社の主軸中の主軸サービスのEC、そしてコンテンツ、金融に匹敵する主軸ビジネスにしていくことを目指しています。組織体制も小さいので、日本を代表する同社社長と非常に近い位置で密接に業務遂行をしていただきます。新規事業だからこそ、なんでもチャレンジングにやっていきたい意欲のある方歓迎です。","武田","2015/05/26 19:09:49","【モバイル事業】戦略担当/大手ECサービス企画・運営企業","ECサービス","新規事業立","モバイル","マーケティング","グローバル"
