"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日","HP用職種名(EM使用欄)"  ,"アピールしたいKW1(単語)" ,"アピールしたいKW2(単語)" ,"アピールしたいKW3(単語)" ,"アピールしたいKW4(単語)" ,"アピールしたいKW5(単語)" 
"1026149","1","0","ハイクラス","","","","","","09","01","ITコンサルタント","システムコンサルタント","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","9","4","ITコンサルタント","金融システムコンサルタント","株式会社ISIDビジネスコンサルティング","ITガバナンス構築コンサルタント","グローバル化やクラウド等最新テクノロジー利用の進展に伴い発生する、ITガバナンス・セキュリティ領域における顧客企業の課題を見極め、課題解決に向けて、体制・ルール・プロセスの策定から情報システムの整備までつながる一連のコンサルティング活動を担うメンバーを募集。","ITガバナンス領域におけるコンサルティング経験がある。ITガバナンス領域の業務またはシステムの専門知識を有している。IT戦略の立案に携わった経験がある。情報セキュリティ領域の業務またはシステムの専門知識を有している。顧客、チームと共に改革プロジェクトを推進できる。問題分析能力、解決策立案能力、コミュニケーション能力が高い。","次の経験があれば尚良し。COBITに関する知識。クラウド技術動向に関する知見。ISMS(JIS Q 27001)審査員。英語によるビジネス経験。","ベーシックレベル","","現状から適確に課題を抽出し、有効な改善策を提案できること。簡潔で要点を押えたアウトプット（検討資料の作成、顧客への説明など）ができること。分析的な思考力と柔軟な発想力があること。","ITガバナンス領域におけるコンサルティング経験。","東京都","港区","","","大卒以上","25","40","500","1000","事業拡大、組織強化のための募集。","1004755","会計・システムコンサルティングファーム","大手SIerグループにて、企業のグローバル＆グループ経営領域におけるビジネス課題の解決に、より一層貢献すべく、業務コンサルティングサービスを専業とする子会社として設立されました。","＜新会社設立の背景と目的＞国内市場が縮小傾向にある中、多くの日本企業にとって海外売上の拡大は重要な成長戦略であり、グローバル市場における競争優位獲得が課題となっています。かかる背景のもと、企業におけるコンサルティングニーズが高まっています。一方、企業のIT投資目的は、近年「効率化」から「サービス創造」や「売上高増大」にシフトしつつあり、IT企業には、従来のシステムインテグレーション力だけでなく、顧客企業の事業創造や業容拡大のための課題を見極め、解決策を提示する業務コンサルティング力が求められています。ISIDはかねてより、400を超える企業グループで採用されている連結会計ソリューションや、累計約1,100社に導入実績のある人事管理ソリューションなどの提供を通じて、企業のグローバル＆グループ経営領域における課題解決を、豊富な業務ノウハウとシステム構築力により支援してまいりました。2010年度からは経営管理領域の業務コンサルティングに特化した専門部署を設置し、複雑化する企業の経営課題に的確に対応すべく、コンサルティング事業の強化を図っています。","2013","2","30000","35","東京都","港区港南2-17-1","2020年に向けグループのシナジーを最大限に活かし、IT・WEBをべースにした新規事業、クラウドサービス、グローバルなどを含め業容の拡大を目指しています。実績・能力・意欲により裁量も拡大できる少数精鋭の環境で、会社の成長とあわせて個人も成長できるステージの組織です。まさに、今のタイミングで参画する魅力のある企業です。","半藤","2015/09/15 7:34:35","ITガバナンス構築コンサルタント/会計・システムコンサルティングファーム","ITガバナンス","グローバル","クラウド","システムコンサルタント","システム監査"
"1026262","1","0","ハイクラス","","","","","","02","04","ビジネスコンサルタント","業務プロセス系","02","06","ビジネスコンサルタント","その他","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","株式会社ISIDビジネスコンサルティング","製造・原価領域業務改革コンサルタント","顧客企業の競争力向上の為の事業構造変革を、以下のようなオペレーション改革により支援し、新たな仕組みの定義に留まらず、実行、成果獲得、定着まで支援するコンサルティング活動を担うメンバーを募集します。BOM管理プロセス(E-BOM⇒M-BOM⇒ERP-BOM連携、品目・BOMマスタ情報のグローバル標準化)。開発調達・生産準備・製造プロセス(見積情報・工程情報・製造実績情報のグローバル標準化)。原価企画、原価統制、原価低減プロセス(目標原価管理・設計見積原価管理・調達見積原価管理・製造実績原価管理)。","当該領域におけるコンサルティング経験またはシステム導入経験。当該領域の業務またはシステムの専門知識を有している。システム導入にあたり業務設計、組織設計、定着化支援ができる。顧客、チームと共に改革プロジェクトを推進できる。問題点分析能力、解決策立案能力、コミュニケーション能力が高い。IT構想立案、IT化計画立案、IT要件定義遂行能力が高い。","PLM、ERP、MES、FAシステム導入経験。英語力、中国語力ある方。","ベーシックレベル","","現状から適確に課題を抽出し、有効な改善策を提案できること。簡潔で要点を押えたアウトプット（検討資料の作成、顧客への説明など）ができること。分析的な思考力と柔軟な発想力があること。","PLM、ERP、MES、FA等のコンサルティング、システム導入経験。","東京都","港区","","","大卒以上","25","40","500","1000","事業拡大、組織強化のための募集。","1004755","会計・システムコンサルティングファーム","大手SIerグループにて、企業のグローバル＆グループ経営領域におけるビジネス課題の解決に、より一層貢献すべく、業務コンサルティングサービスを専業とする子会社として設立されました。","＜新会社設立の背景と目的＞国内市場が縮小傾向にある中、多くの日本企業にとって海外売上の拡大は重要な成長戦略であり、グローバル市場における競争優位獲得が課題となっています。かかる背景のもと、企業におけるコンサルティングニーズが高まっています。一方、企業のIT投資目的は、近年「効率化」から「サービス創造」や「売上高増大」にシフトしつつあり、IT企業には、従来のシステムインテグレーション力だけでなく、顧客企業の事業創造や業容拡大のための課題を見極め、解決策を提示する業務コンサルティング力が求められています。ISIDはかねてより、400を超える企業グループで採用されている連結会計ソリューションや、累計約1,100社に導入実績のある人事管理ソリューションなどの提供を通じて、企業のグローバル＆グループ経営領域における課題解決を、豊富な業務ノウハウとシステム構築力により支援してまいりました。2010年度からは経営管理領域の業務コンサルティングに特化した専門部署を設置し、複雑化する企業の経営課題に的確に対応すべく、コンサルティング事業の強化を図っています。","2013","2","30000","35","東京都","港区港南2-17-1","元々の強みである製造業向けのコンサルティングを担っていただきます。現場・実務に近い領域に強みを持っており、企業の積極的な大規模投資を背景に、ビジネス領域のコンサルティングニーズも含めてクライアントの依頼も急増しています。グループ全体のシナジーを活かし、優良顧客のニーズを掴み、ビジネスも拡大しています。","半藤","2015/09/15 7:34:34","製造・原価領域業務改革コンサルタント/会計・システムコンサルティングファーム","製造","原価","業務改革コンサルタント","事業構造変革","BOM管理プロセス"
"1026263","1","0","ハイクラス","","","","","","02","04","ビジネスコンサルタント","業務プロセス系","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","株式会社ISIDビジネスコンサルティング","SCM・MD領域業務改革コンサルタント","顧客企業の収益性向上を目的とし、経営層支援、業務改革遂行、システム構想策定支援等を通じて、以下の業務領域でコンサルティング活動を推進するメンバーを募集します。統合事業計画管理(グローバルでのサプライチェーンマネジメントと、予算・事業計画の統合的な管理)。サプライチェーンマネジメント(需要予測から、グローバルの最適な生産計画の立案まで)。マーチャンダイジング(POSデータ分析による、商品政策、商品構成の立案から、流通まで)。オムニチャネル(店舗運営、Eコマース、新しいアプリケーションを活用したビジネスモデル立案)。会計領域に関するプロジェクトもあり。","当該領域での業務コンサルティングやシステムコンサルティングの経験。顧客、チームと共に改革プロジェクトを推進できる。問題点分析能力、解決策立案能力、コミュニケーション能力が高い。管理会計についての知識。","プロジェクトマネジメントの経験(PM、リーダー経験)。PMO経験。システム化構想やRFP策定、システム要件定義の経験。SCM、ERPシステム導入経験(特に、ロジスティクスの分野)。ビジネスで英語または中国語を使って業務を行った経験。公認会計士。","ベーシックレベル","","現状から適確に課題を抽出し、有効な改善策を提案できること。簡潔で要点を押えたアウトプット（検討資料の作成、顧客への説明など）ができること。分析的な思考力と柔軟な発想力があること。","グローバルSCM、管理会計、PMO等のコンサルティング経験。","東京都","港区","","","大卒以上","25","40","500","1000","事業拡大、組織強化のための募集。","1004755","会計・システムコンサルティングファーム","大手SIerグループにて、企業のグローバル＆グループ経営領域におけるビジネス課題の解決に、より一層貢献すべく、業務コンサルティングサービスを専業とする子会社として設立されました。","＜新会社設立の背景と目的＞国内市場が縮小傾向にある中、多くの日本企業にとって海外売上の拡大は重要な成長戦略であり、グローバル市場における競争優位獲得が課題となっています。かかる背景のもと、企業におけるコンサルティングニーズが高まっています。一方、企業のIT投資目的は、近年「効率化」から「サービス創造」や「売上高増大」にシフトしつつあり、IT企業には、従来のシステムインテグレーション力だけでなく、顧客企業の事業創造や業容拡大のための課題を見極め、解決策を提示する業務コンサルティング力が求められています。ISIDはかねてより、400を超える企業グループで採用されている連結会計ソリューションや、累計約1,100社に導入実績のある人事管理ソリューションなどの提供を通じて、企業のグローバル＆グループ経営領域における課題解決を、豊富な業務ノウハウとシステム構築力により支援してまいりました。2010年度からは経営管理領域の業務コンサルティングに特化した専門部署を設置し、複雑化する企業の経営課題に的確に対応すべく、コンサルティング事業の強化を図っています。","2013","2","30000","35","東京都","港区港南2-17-1","SCM、S＆OP、デジタルプロモーション・デジタルマーケティングなど、大手総合広告代理店をはじめとした自社グループ企業と連携し、顧客のニーズに合わせてモノ・カネの管理からから売るための施策まで広範囲のコンサルティングを行っています。部分的ではなくビジネス全体を捉えたソリューションを経験し、広範囲で通用するキャリアを身に付けることができます。グローバル展開も視野に入れ、成長している組織でチームビルディングにも携わっていけます。社員が永く働いて行ける環境づくりにも積極的に取り組んでおり、ワークライフバランス(WLB)とスキル・キャリアアップの両面を実現できる環境です。","半藤","2015/09/15 7:34:33","SCM・MD領域業務改革コンサルタント/会計・システムコンサルティングファーム","SCM","MD","業務改革コンサルタント","サプライチェーンマネジメント","マーチャンダイジング"
"1026121","1","0","ハイクラス","","","","","","02","03","ビジネスコンサルタント","会計・財務系","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","株式会社ISIDビジネスコンサルティング","経営管理・会計コンサルタント","「グループ経営の進化」を旗印に、経営管理・会計の以下領域でのコンサルティング活動、およびコンサルメソッドの拡充を担うメンバーを募集します。グループ経営情報の高度化(KPIの設定や情報粒度の定義など、クライアント企業の事業特性や戦略目標に適合した、経営情報のあるべき姿の実現を支援します)。グループ経営情報基盤の統一(IFRS対応、会計基準や決算期の統一、勘定科目ルールの整備などを通じ、グループ経営のインフラとなる統一情報基盤の構築を支援します)。経営管理・会計業務改革(経営管理・会計業務の標準化/効率化、組織/役割の最適化を通じ、クライアント企業におけるグループ本社機能の高付加価値化を支援します)。","当該領域におけるコンサルティング経験、または事業会社での実務経験がある。当該領域における業務、制度(会計基準等)、システム等の専門知識を有している。顧客、チームと共に課題抽出、施策立案、改善実行までのプロジェクト推進ができる","公認会計士、米国公認会計士等の会計専門資格。当該領域における業務改革プロジェクト(効率化、標準化、シェアード化、等)の経験。大手企業における管理連結、制度連結、ERP、BI等のシステム構想策定、要件定義、導入等の経験。統計解析に関する知識、ツール利用経験。外国語対応(英語、中国語等)も含めたグローバルプロジェクトの経験。","ベーシックレベル","","現状から適確に課題を抽出し、有効な改善策を提案できること。簡潔で要点を押えたアウトプット（検討資料の作成、顧客への説明など）ができること。分析的な思考力と柔軟な発想力があること。","経営管理・会計分野のコンサルティング経験。","東京都","港区","","","大卒以上","25","40","500","1000","事業拡大、組織強化のための募集。","1004755","会計・システムコンサルティングファーム","大手SIerグループにて、企業のグローバル＆グループ経営領域におけるビジネス課題の解決に、より一層貢献すべく、業務コンサルティングサービスを専業とする子会社として設立されました。","＜新会社設立の背景と目的＞国内市場が縮小傾向にある中、多くの日本企業にとって海外売上の拡大は重要な成長戦略であり、グローバル市場における競争優位獲得が課題となっています。かかる背景のもと、企業におけるコンサルティングニーズが高まっています。一方、企業のIT投資目的は、近年「効率化」から「サービス創造」や「売上高増大」にシフトしつつあり、IT企業には、従来のシステムインテグレーション力だけでなく、顧客企業の事業創造や業容拡大のための課題を見極め、解決策を提示する業務コンサルティング力が求められています。ISIDはかねてより、400を超える企業グループで採用されている連結会計ソリューションや、累計約1,100社に導入実績のある人事管理ソリューションなどの提供を通じて、企業のグローバル＆グループ経営領域における課題解決を、豊富な業務ノウハウとシステム構築力により支援してまいりました。2010年度からは経営管理領域の業務コンサルティングに特化した専門部署を設置し、複雑化する企業の経営課題に的確に対応すべく、コンサルティング事業の強化を図っています。","2013","2","30000","35","東京都","港区港南2-17-1","Up or Outとは反対の雇用第一といったカルチャーもあり、腰を据えてしっかりとキャリアを積んでいける環境です。社員の心身両面の健康に対する意識を高く持っており、地に足つけ腰を据えてキャリアップに取り組める環境です即戦力の優秀な人材はもちろん、勉強や家庭との両立もしやすいので、能力・意識の高い女性や若手の方も歓迎です。","半藤","2015/09/15 7:34:32","経営管理・会計コンサルタント/会計・システムコンサルティングファーム","経営管理","会計コンサルタント","会計基準","IFRS","経営戦略"
"1026745","1","0","ハイクラス","","","","","","09","01","ITコンサルタント","システムコンサルタント","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","10","01","ITエンジニア","プロジェクトマネージャー・リーダー","株式会社ISIDビジネスコンサルティング","データ解析・意思決定支援コンサルタント","各種フレームワークや分析モデルおよび非定型・高速データ解析処理等のIT技術を組み合わせることで、顧客企業の本社部門における間接業務改革や新規事業推進等の部門横断テーマに関する意思決定を支援する次のコンサルティング活動、および本領域の潜在需要開拓に向けたプリセールス活動を担うメンバーを募集します。中長期ビジョン・ロードマップ策定支援。事業・商品開発、IT投資等に関する選択と集中(リソース再配分)の意思決定支援。エンジニアリング/マーケティング/オペレーション/ファクトリー領域の大量データ分析による意思決定の品質とスピードの向上支援。ダッシュボード・BI基盤構築によるモニタリング・コントロールの実践支援。","次を満たす経験、スキルを有する方。当該領域におけるコンサルティング経験またはシステム導入経験。顧客、チームと共に改革プロジェクトを推進できる。問題点分析能力、解決策立案能力、コミュニケーション能力が高い。","次の経験、スキルがあれば歓迎。コンサルティングやシステム導入でのプロジェクトマネジメントの経験。英語による海外法人・ベンダーとのプロジェクト推進経験。ビッグデータ関連システム導入もしくは活用経験。PPM(プロダクト・プロジェクトポートフォリオ管理)システム導入もしくは活用経験。統計解析および分析モデリングスキル。","ベーシックレベル","","問題点分析能力、解決策立案能力、コミュニケーション能力が高い。","IT戦略、BI、データ分析・ビックデータ関連のコンサルティング経験またはシステム導入経験。","東京都","港区","","","大卒以上","25","40","500","1000","事業拡大、組織強化のための募集。","1004755","会計・システムコンサルティングファーム","大手SIerグループにて、企業のグローバル＆グループ経営領域におけるビジネス課題の解決に、より一層貢献すべく、業務コンサルティングサービスを専業とする子会社として設立されました。","＜新会社設立の背景と目的＞国内市場が縮小傾向にある中、多くの日本企業にとって海外売上の拡大は重要な成長戦略であり、グローバル市場における競争優位獲得が課題となっています。かかる背景のもと、企業におけるコンサルティングニーズが高まっています。一方、企業のIT投資目的は、近年「効率化」から「サービス創造」や「売上高増大」にシフトしつつあり、IT企業には、従来のシステムインテグレーション力だけでなく、顧客企業の事業創造や業容拡大のための課題を見極め、解決策を提示する業務コンサルティング力が求められています。ISIDはかねてより、400を超える企業グループで採用されている連結会計ソリューションや、累計約1,100社に導入実績のある人事管理ソリューションなどの提供を通じて、企業のグローバル＆グループ経営領域における課題解決を、豊富な業務ノウハウとシステム構築力により支援してまいりました。2010年度からは経営管理領域の業務コンサルティングに特化した専門部署を設置し、複雑化する企業の経営課題に的確に対応すべく、コンサルティング事業の強化を図っています。","2013","2","30000","35","東京都","港区港南2-17-1","グループ全体で強みを持つマーケティング、データ分析と親会社が持つ技術力、フレームワークなどのリソースを活かし、市場ニーズの高いビッグデータ解析、BI・意思決定などの領域で差別化をはかり、ポジションを確立していきます。グローバル展開も視野に入れ、成長している組織でチームビルディングにも携わっていけます。社員が永く働いて行ける環境づくりにも積極的に取り組んでおり、ワークライフバランス(WLB)とスキル・キャリアアップの両面を実現できる環境です。","半藤","2015/09/15 7:34:30","データ解析・意思決定支援コンサルタント/会計・システムコンサルティングファーム","BI","ビックデータ","データ解析","IT投資戦略","意思決定支援コンサルティング"
"1026744","1","0","ハイクラス","","","","","","02","02","ビジネスコンサルタント","人事・組織系","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","株式会社ISIDビジネスコンサルティング","人事オペレーション改革コンサルタント","顧客企業に対し、人事オペレーションに関する課題を見極め、課題解決に向けた全体構想の策定から、プロジェクト計画の立案、および改革活動の実施を担うメンバーを募集。次の各プロジェクトにおける活躍を期待。人事業務プロセス改革。人事システムの基本構想策定。人事パッケージ導入時の顧客側支援。","次のいずれかを満たす経験、スキルを有する方。人事領域におけるコンサルティング経験または事業会社での実務経験。人事領域における業務、制度またはシステムの専門知識を有している。顧客、チームと共に課題抽出、施策立案、改善実行までのプロジェクト推進ができる。問題点分析能力、解決策立案能力、コミュニケーション能力が高い。","次の経験、スキルがあれば歓迎。個人情報保護に関する経験。人事領域でのパッケージ製品企画・開発・導入等の経験。人事給与業務アウトソーシングサービス事業者での経験。社会保険労務士。英語によるビジネス経験。","スタンダードレベル","","問題点分析能力、解決策立案能力、コミュニケーション能力が高い方。","人事領域におけるコンサルティング経験。事業会社での人事実務経験(人事領域における業務、制度またはシステム関連)。","東京都","港区","","","大卒以上","25","38","500","1000","事業拡大にため。","1004755","会計・システムコンサルティングファーム","大手SIerグループにて、企業のグローバル＆グループ経営領域におけるビジネス課題の解決に、より一層貢献すべく、業務コンサルティングサービスを専業とする子会社として設立されました。","＜新会社設立の背景と目的＞国内市場が縮小傾向にある中、多くの日本企業にとって海外売上の拡大は重要な成長戦略であり、グローバル市場における競争優位獲得が課題となっています。かかる背景のもと、企業におけるコンサルティングニーズが高まっています。一方、企業のIT投資目的は、近年「効率化」から「サービス創造」や「売上高増大」にシフトしつつあり、IT企業には、従来のシステムインテグレーション力だけでなく、顧客企業の事業創造や業容拡大のための課題を見極め、解決策を提示する業務コンサルティング力が求められています。ISIDはかねてより、400を超える企業グループで採用されている連結会計ソリューションや、累計約1,100社に導入実績のある人事管理ソリューションなどの提供を通じて、企業のグローバル＆グループ経営領域における課題解決を、豊富な業務ノウハウとシステム構築力により支援してまいりました。2010年度からは経営管理領域の業務コンサルティングに特化した専門部署を設置し、複雑化する企業の経営課題に的確に対応すべく、コンサルティング事業の強化を図っています。","2013","2","30000","35","東京都","港区港南2-17-1","親会社の大手SIerが人事パッケージをベースに人事領域を拡大。その上流領域を中心に引き合いも強く、グループ企業だけでなく幅広いクライアントに対してソリューションを展開していきます。顧客基盤がしっかりした環境で、集中して業務に取り組んでいける環境です。","半藤","2015/09/15 7:34:29","人事オペレーション改革コンサルタント/会計・システムコンサルティングファーム","人事コンサルタント","人事戦略","人事制度改革","ワークライフバランス","人事プロセス改革"
