求人ID,Newフラグ,トピックスフラグ,テーマ,外資フラグ,ベンチャーフラグ,上場フラグ,リンク（面接官）,リンク（トピックス）,職種大分類コード1,職種中分類コード1,職種大分類名1,職種中分類名1,職種大分類コード2,職種中分類コード2,職種大分類名2,職種中分類名2,職種大分類コード3,職種中分類コード3,職種大分類名3,職種中分類名3,会社名（トピックス用）,職種名,職務内容,求めるスキル（必須条件）,求めるスキル（望ましい条件）,英語レベル,TOEIC,求める人物像,活かせる経験,都道府県1,市区町村1,都道府県2,市区町村2,学歴,年齢下限,年齢上限,年収下限,年収上限,募集背景,企業ID,業種カテゴリ,会社情報（紹介文）,会社情報（その他捕捉）,会社情報（設立）年,会社情報（設立）月,会社情報（資本金）万円,会社情報（従業員数）,企業県名,企業市区町村,ｺﾝｻﾙから一言,担当者,掲載日,HP用職種名(EM使用欄)  ,アピールしたいKW1(単語) ,アピールしたいKW2(単語) ,アピールしたいKW3(単語) ,アピールしたいKW4(単語) ,アピールしたいKW5(単語) 
1014938,1,0,ハイクラス,,,非公開,,,2,2,ビジネスコンサルタント,人事・組織系,,,,,,,,,デロイトトーマツコンサルティング株式会社,戦略コンサルタント【HC：組織・人事向け】,組織人事領域における豊富な経験とインダストリーの知見をもとに、事業／人材戦略の統合と「人」を通じた事業価値の最大化をご支援します。今日の事業課題の多くは「人」の課題であり、人的な生産性と組織の収益性向上が人事責任者の最重要テーマとなっています。人材の確保・育成と動機づけ、組織と文化の変革に関わる幾多の取り組みを通じて、事業の成長に対してより直接的に貢献することが求められています。業務／組織／文化の変革、人材開発、リーダーシップ、報酬／年金等々、個別の取り組みは馴染み深いものばかりです。しかし、昨今の多様でグローバル化した経営環境においては、これまでと次元の異なる複雑さがそれぞれの取り組みに立ちはだかっています。その複雑さを解きほぐし、解決策を着実に構想し実行し続けるためには、グローバルな人事の知見とビジネスに対する深い理解のコンビネーションが不可欠です。,一定の就業経験、組織・人材マネジメント（含、チェンジマネジメント、人事業務領域）についての関心・一定の理解、ロジカルに物事を理解・思考できる能力、十分なコミュニケーション能力。 SCクラス：上記に加え、組織・人材マネジメント（含、チェンジマネジメント、人事業務領域）に関する業務経験、Cより高レベルの各種能力,M・SMクラス ： 上記に加え、組織・人材マネジメント領域（含、チェンジマネジメント、人事業務領域）における一定のコンサルティング経験、何らかのコンサルティングプロジェクトにおけるプロジェクトマネジメント経験、SCより高レベルの各種能力。全ランクとも英語力があるとかなり有利。日本語・英語に加えて他言語ができるとなお有利。,ベーシックレベル,760,クライアント・業務に対するコミットメント、広い意味でのコミュニケーション能力・対人関係能力、ロジカルシンキング、成長意欲、主体性、執着心、タフさと繊細さ。,人事組織系の経験。,東京都,千代田区,,,大卒以上,28,35,800,1400,業務拡大に伴う中途即戦力採用の強化,210099,戦略コンサルティングファーム,全世界150カ国、17万人からなるプロフェッショナルファーム、グローバルプロフェッショナルファームのメンバーであり、日本で最大級の会計事務所監査法人トーマツのグループに属しています。総合的なプロフェッショナルサービスを国内外提供できるネットワークを持つ経営コンサルティング・人事・戦略コンサルティング等のコンサルティングサービスを提供しています。,経営戦略から業務改革まで幅広くトータルソリューションとして提供できるコンサルティング会社です。グローバルでの案件が多く、海外との連携プロジェクトに参画できる機会も多くあります。,1983,4,,2000,東京都,千代田区丸の内3-3-1　新東京ビル4階,グローバルの総合コンサルティングファームで、中京オフィスで組織・人事系のコンサル募集です。コンサルからシニアマネージャークラスまで募集します。,岡田,8/17/2015 9:37,人事・組織コンサルタント/外資戦略コンサルティングファーム,コンサルティングファーム,人事・組織コンサルタント,グローバル展開,外資企業,人材ビジネス
1016603,1,0,ハイクラス,,,非公開,,,2,6,ビジネスコンサルタント,その他,2,1,ビジネスコンサルタント,経営戦略系,2,4,ビジネスコンサルタント,業務プロセス系,デロイトトーマツコンサルティング株式会社,戦略コンサルタント【CB&T（ＣＰＧＲ）：消費財向け】,コンシューマービジネス向けコンサルティングサービス（消費財・食品飲料メーカー／総合商社／小売、卸など）■事業拡大に向けて■事業効率化に向けて上記に関わるコンサルティングサービスに従事していただきます。,【コンサルファーム出身者】【専門領域】（必須）●消費財・食品飲料業界の戦略・オペレーションの豊富なコンサルティング経験（成長戦略、中計策定、営業改革、マーケティング、SCM改革等のサービス）（なお良）●チャネル戦略（オムニチャネルなど）●グローバルの戦略やオペレーション構築【経験業務】（必須）マネージャークラス…●３件以上のプロマネ経験●プロマネとして、同一顧客向けの複数回のリピート●クロスセルを実現した経験●複数のセールスリード経験,スタッフクラス…●上記専門領域での業務経験●チームリーダー経験【英語力】（必須）英語での基本的な読み書き、会話が出来る（上記の経験・スキルが卓越していれば問わない）（なお良）海外ジョブのプロマネ経験（英語でのコミュニケーション）海外駐在経験【資格】（なお良）●ＭＢＡ●中小企業診断士【年齢】マネージャークラス…40歳程度までスタッフクラス…35歳程度まで,ビジネスレベル,800,■常に新しい分野に興味を持ち、向学心が高く、チャレンジを続けられる人■消費者向けビジネス事業の知見があり、更にそれを深く追求したい人■日系企業のグローバル進出を加速させ、海外で勝てる企業になることを支援したいという想いのある人■困難な課題や障壁があっても、成長機会ととらえてぶつかって乗り越えていくことが出来る人,消費財、不動産業界での経験、もしくはコンサルティング業界経験者でのこの分野に関心があること,東京都,千代田区,,,大卒以上,28,40,500,1200,業務拡大に伴う中途即戦力採用の強化,210099,戦略コンサルティングファーム,全世界150カ国、17万人からなるプロフェッショナルファーム、グローバルプロフェッショナルファームのメンバーであり、日本で最大級の会計事務所監査法人トーマツのグループに属しています。総合的なプロフェッショナルサービスを国内外提供できるネットワークを持つ経営コンサルティング・人事・戦略コンサルティング等のコンサルティングサービスを提供しています。,経営戦略から業務改革まで幅広くトータルソリューションとして提供できるコンサルティング会社です。グローバルでの案件が多く、海外との連携プロジェクトに参画できる機会も多くあります。,1983,4,,2000,東京都,千代田区丸の内3-3-1　新東京ビル4階,経営戦略、業務戦略、テクノロジー戦略等の総合コンサルティングファームです。グローバル案件が最近かなり増えて英語を使用する機会も多くあります。,岡田,8/14/2015 7:07,戦略コンサルタント（消費財）/大手戦略コンサルティングファーム,戦略コンサルティングファーム,戦略コンサルタント,消費財,グローバル展開,製造・物流
1024392,1,0,ハイクラス/ベンチャー,,1,非公開,,,2,3,ビジネスコンサルタント,会計・財務系,9,2,ITコンサルタント,ERP・業務プロセスコンサルタント,2,6,ビジネスコンサルタント,その他,株式会社ビジョン・コンサルティング,業務コンサルタント,・ 財務、人材、組織、CRM、SCM戦略の策定支援・ 設計・開発・導入、そして業務およびシステムの運用までのコンサルティング、また外部ベンダーのコントロール等プロジェクトの全体管理、英語を使ってのベンダーコントロール等・ 既存の業務改善をテーマに業務設計、フィット＆ギャップ分析、および業務システム企画設計★金融、通信、自動車、官公庁など様々な業界のプロジェクトにおいて、プロジェクトマネージャーとしての推進、プロジェクト(プログラム)マネージメントオフィスとしての支援(法対応、金融庁報告、コスト削減等◆案件は、大手企業と直取引が中心です。大手通信会社、大手証券会社、大手保険会社などクライアントの要望やニーズを確実に汲んだ案件を提供しています。※案件により、客先で作業を行う場合もありますが、業務委託が中心です。,コンサルティング業務経験者(実務経験2年以上),■英語力■下記業界での業務改革・プランニング・IT導入プロジェクト経験：金融、通信、製造/流通/運輸業界、官公庁/地方自治体、教育機関などの公的機関、銀行業界/リース業界/キャピタルマーケット/保険業界、素材/エネルギー業界/ビジネス/ITコンサルティング経験,------,,◆明るく感情豊かなコミュニケーション力がある方◆セルフスターター◆スペシャリスト志向があり、努力し続けられる方◆高い質を追求し、スピードをもって顧客支援ができる方,コンサルティング経験/会計・財務知識/人事・組織関連業務/CRM/SCM戦略,東京都,新宿区,,,大卒以上,24,40,600,1200,増員,1005390,戦略コンサルティングファーム,企業活動の根幹を担う経営戦略・事業戦略の立案から、ビジネスプロセスの具現化やITによるソリューションの実現まで、個社の状況に応じて、コンサルティングサービスを提供。その種類は①デザインコンサルティング②戦略コンサルティング③業務コンサルティング④ＩＴコンサルティング⑤システムインテグレーションなど幅広く、クライアントの様々なニーズへ対応。,同社代表は国内大手コンサルティングファームにてセールス、リクルーティングを経験。日本ではまだ浸透していないデザインコンサルティングによるイノベーションを提供すること、社員の仕事への裁量と育成を重視し、社員のキャリアパスを広げることを目指し、同社を設立。設立まもない中、黒字経営を続けています。クライアントは各業界の最上位層をメインとし、クライアントの業界は幅広く対応。その中でも金融、通信、カード、製薬業界の案件が現在多く、デザインコンサルティングや業務・ＩＴコンサルティング案件の割合が多い状況です。,2014,,,15,東京都,新宿区西新宿新宿パークタワー（３０階）,案件は、大手企業と直取引が中心です。大手通信会社、大手証券会社、大手保険会社などクライアントの要望やニーズを確実に汲んだ案件を提供しています。いままで培ってきたノウハウ・技術力を存分に活かしながら、さらにワンランク上のステージで、力を発揮したい方は大歓迎です！,奈良,8/14/2015 7:06,業務コンサルタント/戦略コンサルティングファーム,業務コンサルタント,戦略コンサルティングファーム,業務プロセスコンサルタント,SCM,CRM
1026496,1,0,ハイクラス,,,上場,,,4,1,マーケティング・広報・IR,マーケティング,4,1,マーケティング・広報・IR,マーケティング,,,,,株式会社ファーストリテイリング,グローバルPRリーダー候補者ならびに担当者,同グループでは、経営と一体になった「ひとつ」の「グローバル」なコミュニケーション思想のもとに、マーケティング・広報プレス・WEB・店内販促が強固に連動した、グローバルなコミュニケーション戦略を立案・実行していこうとしています。本ポジションでは、ブランド価値向上を目指したPR計画の立案ならびにその実行を担当していただきます。●商品、店舗の価値を消費者の方に伝わる情報として編集する、●キャンペーンなどのプロモーションと連動したPR計画を策定する、●商品、店舗ごとの具体的なPR施策の立案し実行する、●海外事業のPR担当者と連携し、世界中に商品情報を伝える、●上記を実現するためのメディアリレーション（新聞、TV、通信社、雑誌社問わず）を構築する、●チームメンバーへの適切なコーチングとアドバイス。,事業会社における、マーケティング部門と協働した商品・マーケティングPRの実務経験（5年以上）。代理店への業務委託とその進行管理ではなく、自らPR活動を企画し実行したことのある方。または広告代理店、PR代理店における・マーケティング部門と協働した、商品・マーケティングPRの実務経験（5年以上）。大企業の決められた方法論でない「規定路線からはずれた方法」で業務を推進できる方。ビジネスレベルの英語力（TOEIC700点以上目安）。,アパレル関連の経験。論理的思考/数値分析に長けている方。組織横断的プロジェクトのリーダー、ブランドマネージャー、新商品開発ローンチ、新規事業開発ローンチ責任者やリーダーなどの経験者。,ビジネスレベル,,リーダーシップに優れ、自ら能動的に仕事を進められる方。改革を進める上で発生する摩擦に負けない、強い推進力を持ち、グローバルも視野に入れてリーダーシップを発揮できる方。逆境でもモチベーションを維持できるエネルギーと気分転換力のある方。,商品・マーケティングPRの実務経験。,東京都,港区,,,大卒以上,29,39,670,1200,組織強化に伴う募集。,210101,アパレル・ブランド,日本国内および世界各地において、商品企画・生産・物流・販売までの自社一貫コントロールにより、高品質・低価格のカジュアルブランドを提供する製造小売企業(SPA)。日本発のグローバル企業として、世界No.1のブランドを目標に積極的なグローバル化、M&Aを実施。2020年に売上高5兆円（欧州・北米・アジア・中国・日本で各1兆円）、世界一のアパレル製造小売企業を目指す。,規模は大きくなったものの、”ベンチャー”のスピード感、マインド、「革新と挑戦」し続ける姿勢が重要。小売ビジネスというのもあり週次単位で現場はどんどんと変化する。常に最適で最高のサービスをお客様に提供し続けるために各社員が主体的に考え、動き、結果を出していく事を強く求められる。各自がオーナーシップを持って経営の観点を持ち、リーダーシップを発揮することを期待されます。,1963,5,1027395,34503,東京都,港区赤坂9丁目7番1号　ミッドタウン・タワー,グローバルブランドとして世界中に1000店舗以上を展開するユニクロの「ブランドの顔」とも言える業務であり、コミュニケーションのプロであることが要求されます。ブランド価値を大きく向上させる、商売を飛躍的な成長に導くことができるなど、ダイナミックな成果が実感できます。,永田,8/12/2015 7:31,グローバルPRリーダー/東証一部上場アパレル製造小売企業,アパレル,グローバル,PR,小売,販売促進
1025622,1,0,ハイクラス,,,上場,,,3,0,経営企画・事業企画,,3,0,経営企画・事業企画,,2,1,ビジネスコンサルタント,経営戦略系,楽天株式会社,【総合企画部】プリンシパル,総合企画部は、同社グループの更なる成長と発展のため、グループの戦略・経営基盤増強・競争力強化の役割を担う部署です。グループ戦略施策の推進母体として、経営上の重要事項、たとえばM&A、アライアンスや事業戦略上の意思決定に関する支援を経営層に対して行い、 共に実行していきます。グローバルマーケットでビジネスを展開しているため、グローバルの経営陣や最先端を行く企業と一緒に仕事を行います。 経営層との中長期戦略の検討、策定・M&A、アライアンス等、重要施策の企画立案、意思決定支援、実行・事業・組織再編等のグループ全体のプロジェクトの企画、実行・グループ経営強化に向けた仕組みづくり、新規ビジネス領域の検討と実行推進。,下記のいずれかのご経験がある方を求めます。経営企画、マーケティング、経営管理、事業企画経験をお持ちの方。コンサルティング経験をお持ちの方。またはインターネットサービス経験者。海外ビジネス経験が豊富な方験、企業買収や経営統合業務の経験がある方。問題解決能力：調査、分析、企画、プレゼンテーション、ファシリテーション、プロジェクトマネージメント、等のスキル。グローバル経営層、各事業の経営層と効果的にコミュニケーションする力。,,ビジネスレベル,800,変化に対応できる方,経営企画、経営管理経験をお持ちの方。コンサルティング経験をお持ちの方。インターネットサービス経験者。海外ビジネス経験が豊富な方験、企業買収や経営統合業務の経験がある方。問題解決能力：調査、分析、企画、プレゼンテーション、ファシリテーション、プロジェクトマネージメント、等のスキル。グローバル経営層、各事業の経営層と効果的にコミュニケーションする力。,東京都,品川区,,,大卒以上,26,37,800,1500,成長著しい事業領域にて即戦力となる方を積極募集。,100204,インターネット,国内最大級のインターネットショッピングモールの運営企業。人々と社会をエンパワーメントする世界一のインターネット・サービス企業を目指して躍進中。現在、eコマースや電子書籍を中心に、南北アメリカ、ヨーロッパ、アジア、オセアニアにて事業を展開しており、加速度的にグローバル展開を拡大。同社の成長・拡大に伴い若手が幹部クラスとして早くにビジネスリーダーとして活躍できるチャンスが非常に多いのも特徴です。,同社はインターネットの総合サービス企業としてＥＣを中核とするビジネスモデルを進化させてきました。それまで日本に存在しなかった新しいマーケットを創造してきました。海外進出を本格化させ、ポータル・メディア、トラベル、金融、プロスポーツと領域を広げ、各サービス間のシナジー効果により、ビジネスを順調に拡大することに成功しています。社内は向上心やスピード感のある優秀でやる気のある方が多く、事業領域が多数あるためキャリアチェンジや社内異動もあるのが魅力です。,1997,2,11160200,11872,東京都,品川区東品川4-12-3　品川シーサイド楽天タワー,同社の経営企画のイメージです。,武田,5/18/2015 7:23,経営企画・推進/国内最大級インターネットショッピングモール運営企業,ECサービス,BPR,業務改善,経営企画,事業戦略
